Metabolite	Method	m.z	RT
C16:1_LPC	C8-pos	494.3241	4.67
C16:0_LPC	C8-pos	496.3397	5.04
C18:2_LPC	C8-pos	520.3393	4.87
C18:1_LPC	C8-pos	522.3553	5.23
C18:0_LPC	C8-pos	524.3709	5.64
C20:5_LPC	C8-pos	542.3215	4.75
C20:4_LPC	C8-pos	544.3399	4.9
C20:3_LPC	C8-pos	518.3215	5.04
C22:6_LPC	C8-pos	568.3398	4.88
C16:0_LPE	C8-pos	454.2925	5.07
C18:2_LPE	C8-pos	478.293	4.89
C20:4_LPE	C8-pos	502.2926	4.92
C22:6_LPE	C8-pos	526.2927	4.89
C30:0_PC	C8-pos	706.5375	8.38
C32:2_PC	C8-pos	730.5374	8.21
C32:1_PC	C8-pos	732.553	8.54
C32:0_PC	C8-pos	734.5689	8.84
C34:4_PC	C8-pos	754.5372	8.24
C34:3_PC	C8-pos	756.5529	8.41
C34:2_PC	C8-pos	758.5688	8.69
C34:1_PC	C8-pos	760.5844	8.99
C34:0_PC	C8-pos	762.6007	9.3
C36:4_PC-A	C8-pos	782.5694	8.5
C36:4_PC-B	C8-pos	782.568	8.71
C36:3_PC	C8-pos	784.5838	8.84
C36:2_PC	C8-pos	786.5992	9.14
C36:1_PC	C8-pos	788.6154	9.41
C36:0_PC	C8-pos	790.6321	9.79
C38:6_PC	C8-pos	806.5682	8.66
C38:4_PC	C8-pos	810.5988	9.15
C38:3_PC	C8-pos	812.6148	9.28
C38:2_PC	C8-pos	814.6309	9.49
C40:10_PC	C8-pos	826.5351	8.35
C40:9_PC	C8-pos	828.5506	8.64
C40:6_PC	C8-pos	834.5986	9.1
C34:1_PC_plasmalogen-A	C8-pos	746.605	9.27
C36:5_PC_plasmalogen-A	C8-pos	766.5727	8.75
C36:5_PC_plasmalogen-B	C8-pos	766.5725	8.99
C36:4_PC_plasmalogen	C8-pos	768.588	9
C36:3_PC_plasmalogen	C8-pos	770.6041	9.13
C36:2_PC_plasmalogen	C8-pos	772.6206	9.42
C36:1_PC_plasmalogen	C8-pos	774.6354	9.7
C38:7_PC_plasmalogen	C8-pos	790.5722	9
C38:6_PC_plasmalogen	C8-pos	792.5882	9.11
C38:4_PC_plasmalogen	C8-pos	796.6207	9.44
C40:7_PC_plasmalogen	C8-pos	818.6029	9.44
C34:0_PE	C8-pos	720.5529	8.62
C36:3_PE	C8-pos	742.5371	8.84
C36:2_PE	C8-pos	744.5539	9.14
C36:1_PE	C8-pos	746.5694	9.41
C38:6_PE	C8-pos	764.5219	8.66
C38:5_PE	C8-pos	766.5392	8.83
C38:4_PE	C8-pos	768.5543	9.15
C40:6_PE	C8-pos	792.555	9.19
C36:5_PE_plasmalogen	C8-pos	724.5271	9
C36:4_PE_plasmalogen	C8-pos	726.5421	9.11
C36:3_PE_plasmalogen	C8-pos	728.5581	9.42
C38:7_PE_plasmalogen	C8-pos	748.5271	8.92
C38:5_PE_plasmalogen	C8-pos	752.5583	9.42
C40:7_PE_plasmalogen	C8-pos	776.5582	9.36
C22:0_Ceramide_(d18:1)	C8-pos	622.613	9.89
C24:0_Ceramide_(d18:1)	C8-pos	650.6439	10.29
C24:1_Ceramide_(d18:1)	C8-pos	648.6286	9.94
C14:0_SM	C8-pos	675.5429	7.93
C16:1_SM	C8-pos	701.5586	8.07
C16:0_SM	C8-pos	703.5741	8.43
C18:2_SM	C8-pos	749.5568	8.3
C18:1_SM	C8-pos	729.5899	8.59
C18:0_SM	C8-pos	731.6054	8.91
C20:0_SM	C8-pos	759.6368	9.39
C22:1_SM	C8-pos	785.6525	9.49
C22:0_SM	C8-pos	787.6681	9.77
C24:1_SM	C8-pos	813.6836	9.82
C24:0_SM	C8-pos	815.6994	10.18
C14:0_CE	C8-pos	614.5865	11.82
C16:1_CE	C8-pos	640.6022	11.91
C16:0_CE	C8-pos	642.6179	12.23
C18:3_CE	C8-pos	664.6021	11.74
C18:2_CE	C8-pos	666.6177	11.99
C18:1_CE	C8-pos	668.6333	12.31
C18:0_CE	C8-pos	670.649	12.71
C20:5_CE	C8-pos	688.6021	11.6
C20:4_CE	C8-pos	690.6173	11.85
C20:3_CE	C8-pos	692.6332	12.13
C22:6_CE	C8-pos	714.6175	11.72
C22:5_CE	C8-pos	716.6326	11.95
C16:1_MAG	C8-pos	346.295	5.26
C18:0_MAG	C8-pos	376.3416	6.09
C32:0_DAG	C8-pos	591.4957	9.35
C34:2_DAG	C8-pos	610.5402	9.19
C34:1_DAG	C8-pos	612.5558	9.47
C34:0_DAG	C8-pos	614.5707	9.8
C36:3_DAG	C8-pos	636.5557	9.32
C36:2_DAG	C8-pos	638.5714	9.6
C36:1_DAG	C8-pos	640.5871	9.89
C36:0_DAG	C8-pos	642.6025	10.2
C36:4_DAG	C8-pos	634.5397	9.03
C42:0_TAG	C8-pos	740.6755	11.13
C44:2_TAG	C8-pos	764.6756	10.96
C44:1_TAG	C8-pos	766.6912	11.23
C44:0_TAG	C8-pos	768.7066	11.47
C46:3_TAG	C8-pos	790.6913	11.06
C46:2_TAG	C8-pos	792.7066	11.31
C46:1_TAG	C8-pos	794.7222	11.57
C46:0_TAG	C8-pos	796.7379	11.81
C48:5_TAG	C8-pos	814.6908	10.98
C48:4_TAG	C8-pos	816.7069	11.16
C48:3_TAG	C8-pos	818.7223	11.4
C48:2_TAG	C8-pos	820.7379	11.65
C48:1_TAG	C8-pos	822.7526	11.9
