Metabolite	Method	m.z	RT
2-aminoadipate	CMH	NA	NA
alpha-glycerophosphate	CMH	NA	NA
4-pyridoxate	CMH	NA	NA
aconitate	CMH	NA	NA
adenine	CMH	NA	NA
adipate	CMH	NA	NA
citrate	CMH	NA	NA
isocitrate	CMH	NA	NA
cystathionine	CMH	NA	NA
cytidine	CMH	NA	NA
dCMP	CMH	NA	NA
fumarate/maleate/alpha-ketoisovalerate	CMH	NA	NA
glucuronate	CMH	NA	NA
guanine	CMH	NA	NA
guanosine	CMH	NA	NA
hippurate	CMH	NA	NA
hypoxanthine	CMH	NA	NA
inosine	CMH	NA	NA
kynurenine	CMH	NA	NA
lactate	CMH	NA	NA
lactose	CMH	NA	NA
malate	CMH	NA	NA
orotate	CMH	NA	NA
oxalate	CMH	NA	NA
pantothenate	CMH	NA	NA
propionate	CMH	NA	NA
pyruvate	CMH	NA	NA
quinolinate	CMH	NA	NA
salicylurate	CMH	NA	NA
sorbitol	CMH	NA	NA
succinate	CMH	NA	NA
sucrose	CMH	NA	NA
thymine	CMH	NA	NA
uracil	CMH	NA	NA
uridine	CMH	NA	NA
xanthine	CMH	NA	NA
glycocholate	CMH	NA	NA
glycodeoxycholate/glycochenodeoxycholate	CMH	NA	NA
taurodeoxycholate/taurochenodeoxycholate	CMH	NA	NA
chenodeoxycholate/deoxycholate	CMH	NA	NA
suberate	CMH	NA	NA
hydroxyphenylacetate	CMH	NA	NA
indolelactate	CMH	NA	NA
indoxylsulfate	CMH	NA	NA
indole-3-propionate	CMH	NA	NA
gentisate	CMH	NA	NA
phosphocreatine	CMH	NA	NA
3-methyladipate/pimelate	CMH	NA	NA
alpha-hydroxybutyrate	CMH	NA	NA
beta-hydroxybutyrate	CMH	NA	NA
2-hydroxyglutarate	CMH	NA	NA
inositol	CMH	NA	NA
butyrate	CMH	NA	NA
1-methylnicotinamide	HILIC-pos	137.0712	9.2
5-hydroxytryptophan	HILIC-pos	221.0924	7.11
adenosine	HILIC-pos	268.1043	5.61
ADMA/SDMA	HILIC-pos	203.1506	10.82
alanine	HILIC-pos	90.0557	8.79
alpha-glycerophosphocholine	HILIC-pos	258.1104	11.6
arginine	HILIC-pos	175.1192	10.21
asparagine	HILIC-pos	133.0611	9.13
betaine	HILIC-pos	118.0867	9.86
choline	HILIC-pos	104.1076	9.24
citrulline	HILIC-pos	176.1033	9.33
cotinine	HILIC-pos	177.1026	5.43
creatine	HILIC-pos	132.077	9.25
creatinine	HILIC-pos	114.0667	7.38
cytosine	HILIC-pos	112.0511	6.46
dimethylglycine	HILIC-pos	104.0713	9.45
glucose	HILIC-pos	163.0603	5.26
glutamate	HILIC-pos	148.0606	8.62
glutamine	HILIC-pos	147.0766	9.05
glycine	HILIC-pos	76.0402	8.95
isoleucine	HILIC-pos	132.1022	8.1
leucine	HILIC-pos	132.1022	7.97
lysine	HILIC-pos	147.113	10.43
methionine	HILIC-pos	150.0586	8.1
niacinamide	HILIC-pos	123.0557	3.46
NMMA	HILIC-pos	189.1349	10.22
ornithine	HILIC-pos	133.0975	10.38
phenylalanine	HILIC-pos	166.0865	7.76
pipecolic_acid	HILIC-pos	130.0866	8.91
proline	HILIC-pos	116.0711	9.04
pyroglutamic_acid	HILIC-pos	130.0502	9.05
serine	HILIC-pos	106.0505	8.73
serotonin	HILIC-pos	177.1025	7.22
taurine	HILIC-pos	126.0223	7.03
threonine	HILIC-pos	120.066	8.74
thyroxine	HILIC-pos	777.6946	6.75
trans-hydroxyproline	HILIC-pos	132.0658	8.92
trimethylamine-N-oxide	HILIC-pos	76.0766	9.04
tryptophan	HILIC-pos	205.0974	7.56
tyrosine	HILIC-pos	182.0815	7.84
valine	HILIC-pos	118.0867	8.41
acetylcarnitine	HILIC-pos	204.1234	9.69
propionylcarnitine	HILIC-pos	218.1389	9.31
2-methylbutyroylcarnitine	HILIC-pos	246.1702	8.74
hexanoylcarnitine	HILIC-pos	260.186	8.51
octanoylcarnitine	HILIC-pos	288.2172	8.27
nonanoylcarnitine	HILIC-pos	302.2328	8.11
decanoylcarnitine	HILIC-pos	316.2485	8.05
lauroylcarnitine	HILIC-pos	344.2798	7.85
14:1-carnitine	HILIC-pos	370.2956	7.71
myristoylcarnitine	HILIC-pos	372.3113	7.71
16:1-carnitine	HILIC-pos	398.327	7.63
palmitoylcarnitine	HILIC-pos	400.3426	7.6
linoleylcarnitine	HILIC-pos	424.3425	7.58
oleoylcarnitine	HILIC-pos	426.3581	7.53
stearoylcarnitine	HILIC-pos	428.3742	7.51
poor_sig_histidine	HILIC-pos	156.077	10.36
HILIC-pos_5148	HILIC-pos	70.0661	9.04
HILIC-pos_4814	HILIC-pos	72.0817	8.41
HILIC-pos_2074	HILIC-pos	73.0658	2.38
HILIC-pos_4817	HILIC-pos	73.0851	8.41
HILIC-pos_5388	HILIC-pos	73.5327	9.52
HILIC-pos_5157	HILIC-pos	77.08	9.04
HILIC-pos_1525	HILIC-pos	81.0707	1.98
HILIC-pos_1283	HILIC-pos	83.05	1.91
HILIC-pos_4479	HILIC-pos	83.0612	7.75
HILIC-pos_5426	HILIC-pos	83.0612	9.54
HILIC-pos_1122	HILIC-pos	83.0862	1.84
HILIC-pos_5615	HILIC-pos	83.0864	10.68
HILIC-pos_5167	HILIC-pos	84.0452	9.05
HILIC-pos_5104	HILIC-pos	84.0816	8.91
HILIC-pos_5361	HILIC-pos	84.0817	9.49
HILIC-pos_5040	HILIC-pos	84.9121	8.78
HILIC-pos_5481	HILIC-pos	85.0291	9.69
HILIC-pos_2941	HILIC-pos	85.0292	5.26
HILIC-pos_3904	HILIC-pos	86.0609	6.9
HILIC-pos_2453	HILIC-pos	86.0609	3.24
HILIC-pos_4311	HILIC-pos	86.0721	7.39
HILIC-pos_4986	HILIC-pos	86.0972	8.69
HILIC-pos_4585	HILIC-pos	86.0972	7.97
HILIC-pos_4654	HILIC-pos	86.0972	8.1
HILIC-pos_5041	HILIC-pos	86.9094	8.78
HILIC-pos_2034	HILIC-pos	87.0813	2.38
HILIC-pos_5007	HILIC-pos	88.0401	8.73
HILIC-pos_2563	HILIC-pos	89.0605	3.6
HILIC-pos_4571	HILIC-pos	89.0605	7.96
HILIC-pos_5677	HILIC-pos	89.0605	12.36
HILIC-pos_5242	HILIC-pos	90.0557	9.25
HILIC-pos_5069	HILIC-pos	90.0921	8.82
HILIC-pos_4540	HILIC-pos	90.0921	7.87
HILIC-pos_4714	HILIC-pos	90.9774	8.2
HILIC-pos_2920	HILIC-pos	91.0548	5.22
HILIC-pos_760	HILIC-pos	93.0705	1.71
HILIC-pos_5422	HILIC-pos	94.5463	9.53
HILIC-pos_3122	HILIC-pos	95.0498	5.83
HILIC-pos_103	HILIC-pos	95.0498	1.19
HILIC-pos_1651	HILIC-pos	95.0499	1.98
HILIC-pos_2553	HILIC-pos	95.0499	3.54
HILIC-pos_2402	HILIC-pos	95.0499	3.07
HILIC-pos_3570	HILIC-pos	95.0499	6.51
HILIC-pos_4145	HILIC-pos	95.05	7.13
HILIC-pos_445	HILIC-pos	95.0862	1.64
HILIC-pos_1441	HILIC-pos	95.0863	1.98
HILIC-pos_4833	HILIC-pos	96.0816	8.42
HILIC-pos_2933	HILIC-pos	97.0291	5.24
HILIC-pos_1103	HILIC-pos	97.1019	1.83
HILIC-pos_4622	HILIC-pos	98.0972	8.05
HILIC-pos_924	HILIC-pos	98.9849	1.77
HILIC-pos_5417	HILIC-pos	100.025	9.53
HILIC-pos_4219	HILIC-pos	100.0513	7.23
HILIC-pos_2689	HILIC-pos	100.0764	4.22
HILIC-pos_1274	HILIC-pos	101.0604	1.91
HILIC-pos_4641	HILIC-pos	101.0604	8.06
HILIC-pos_5175	HILIC-pos	101.0716	9.05
HILIC-pos_5166	HILIC-pos	102.0557	9.04
HILIC-pos_2764	HILIC-pos	102.0669	4.52
HILIC-pos_4483	HILIC-pos	103.0549	7.76
HILIC-pos_4656	HILIC-pos	104.0535	8.1
HILIC-pos_5653	HILIC-pos	104.1077	11.62
HILIC-pos_2264	HILIC-pos	105.0341	2.63
HILIC-pos_1967	HILIC-pos	105.0705	2.38
HILIC-pos_649	HILIC-pos	105.0705	1.69
HILIC-pos_1439	HILIC-pos	105.0705	1.98
HILIC-pos_1327	HILIC-pos	105.0916	1.94
HILIC-pos_5119	HILIC-pos	106.0869	8.94
HILIC-pos_1946	HILIC-pos	107.0497	2.38
HILIC-pos_1782	HILIC-pos	107.0498	2
HILIC-pos_1112	HILIC-pos	107.0861	1.83
HILIC-pos_4014	HILIC-pos	108.012	7.02
HILIC-pos_1970	HILIC-pos	109.0654	2.38
HILIC-pos_441	HILIC-pos	109.1017	1.64
HILIC-pos_2035	HILIC-pos	111.0446	2.38
HILIC-pos_1271	HILIC-pos	111.0446	1.91
HILIC-pos_426	HILIC-pos	111.1174	1.64
HILIC-pos_2701	HILIC-pos	112.0511	4.27
HILIC-pos_5278	HILIC-pos	112.0763	9.36
HILIC-pos_1978	HILIC-pos	113.0602	2.38
HILIC-pos_4673	HILIC-pos	113.0715	8.14
HILIC-pos_5257	HILIC-pos	113.0715	9.32
HILIC-pos_2330	HILIC-pos	113.1328	2.82
HILIC-pos_2497	HILIC-pos	113.1329	3.41
HILIC-pos_5424	HILIC-pos	114.0041	9.53
HILIC-pos_4308	HILIC-pos	114.0346	7.39
HILIC-pos_4304	HILIC-pos	114.0989	7.38
HILIC-pos_4032	HILIC-pos	115.0691	7.03
HILIC-pos_4302	HILIC-pos	115.0699	7.38
HILIC-pos_400	HILIC-pos	115.0758	1.63
HILIC-pos_1023	HILIC-pos	115.076	1.8
HILIC-pos_5582	HILIC-pos	115.0871	10.39
HILIC-pos_5149	HILIC-pos	116.0381	9.04
HILIC-pos_2407	HILIC-pos	116.0709	3.1
HILIC-pos_208	HILIC-pos	116.071	1.55
HILIC-pos_2368	HILIC-pos	116.0711	2.98
HILIC-pos_2798	HILIC-pos	116.0711	4.78
HILIC-pos_5584	HILIC-pos	116.0711	10.4
HILIC-pos_5152	HILIC-pos	116.1043	9.04
HILIC-pos_5155	HILIC-pos	117.0744	9.04
HILIC-pos_2618	HILIC-pos	118.0867	3.8
HILIC-pos_4820	HILIC-pos	118.123	8.41
HILIC-pos_4524	HILIC-pos	119.0496	7.83
HILIC-pos_1129	HILIC-pos	119.086	1.84
HILIC-pos_4821	HILIC-pos	119.0901	8.41
HILIC-pos_2181	HILIC-pos	120.0449	2.44
HILIC-pos_2570	HILIC-pos	120.056	3.63
HILIC-pos_4198	HILIC-pos	120.0812	7.21
HILIC-pos_4480	HILIC-pos	120.0812	7.76
HILIC-pos_2288	HILIC-pos	121.0289	2.71
HILIC-pos_2634	HILIC-pos	121.0401	3.91
HILIC-pos_1942	HILIC-pos	121.0652	2.38
HILIC-pos_1765	HILIC-pos	121.0652	2
HILIC-pos_4481	HILIC-pos	121.0846	7.76
HILIC-pos_4901	HILIC-pos	122.9249	8.54
HILIC-pos_4534	HILIC-pos	123.0445	7.85
HILIC-pos_1955	HILIC-pos	123.0809	2.38
HILIC-pos_1397	HILIC-pos	123.0809	1.97
HILIC-pos_4923	HILIC-pos	124.923	8.55
HILIC-pos_4372	HILIC-pos	125.0002	7.56
HILIC-pos_4664	HILIC-pos	125.0002	8.12
HILIC-pos_1384	HILIC-pos	125.0601	1.96
HILIC-pos_1098	HILIC-pos	125.0965	1.83
HILIC-pos_4177	HILIC-pos	125.1077	7.18
HILIC-pos_460	HILIC-pos	125.1328	1.64
HILIC-pos_4548	HILIC-pos	126.0665	7.9
HILIC-pos_3394	HILIC-pos	126.0917	6.31
HILIC-pos_4042	HILIC-pos	127.0257	7.03
HILIC-pos_3887	HILIC-pos	127.073	6.89
HILIC-pos_1983	HILIC-pos	127.0757	2.38
HILIC-pos_1733	HILIC-pos	127.0757	1.99
HILIC-pos_5132	HILIC-pos	128.071	8.98
HILIC-pos_4633	HILIC-pos	128.1073	8.06
HILIC-pos_4490	HILIC-pos	128.1313	7.76
HILIC-pos_1269	HILIC-pos	129.0549	1.91
HILIC-pos_5421	HILIC-pos	129.0662	9.53
HILIC-pos_2936	HILIC-pos	129.0662	5.25
HILIC-pos_2558	HILIC-pos	129.0662	3.57
HILIC-pos_1314	HILIC-pos	129.0913	1.93
HILIC-pos_2926	HILIC-pos	130.0502	5.23
HILIC-pos_3789	HILIC-pos	130.0614	6.76
HILIC-pos_2349	HILIC-pos	130.0865	2.88
HILIC-pos_4931	HILIC-pos	130.0866	8.56
HILIC-pos_5357	HILIC-pos	130.0866	9.48
HILIC-pos_2378	HILIC-pos	130.0867	3.02
HILIC-pos_3895	HILIC-pos	130.1594	6.9
HILIC-pos_4492	HILIC-pos	131.0495	7.76
HILIC-pos_2274	HILIC-pos	131.0495	2.67
