transformation,closest_reaction,delta_mz_observed,delta_mz_error,metabolite_from,mz_from,rt_from,metabolite_to,mz_to,rt_to,method
C18-neg_QI161--->C18-neg_QI553,[M+CH4CN]+,42.05839999999999,0.024574446189063792,C18-neg_QI161,89.0228,1,C18-neg_QI553,131.0812,1,C18-neg
C18-neg_QI161--->C18-neg_QI551,[M+CH4CN]+,42.04719999999999,0.013374446189061473,C18-neg_QI161,89.0228,1,C18-neg_QI551,131.07,1.02,C18-neg
C18-neg_QI160--->C18-neg_QI161,M+1,0.984099999999998,0.019254837800001923,C18-neg_QI160,88.0387,1.03,C18-neg_QI161,89.0228,1,C18-neg
C18-neg_QI161--->C18-neg_QI1477,[M+CF3COO]-,113.00959999999999,0.024012520970913442,C18-neg_QI161,89.0228,1,C18-neg_QI1477,202.0324,1.07,C18-neg
C18-neg_QI161--->C18-neg_QI525,[M+K]+,39.01119999999999,0.04804189990905883,C18-neg_QI161,89.0228,1,C18-neg_QI525,128.034,1.21,C18-neg
C18-neg_QI161--->C18-neg_QI524,[M+K]+,39.01119999999999,0.04804189990905883,C18-neg_QI161,89.0228,1,C18-neg_QI524,128.034,1.28,C18-neg
C18-neg_QI161--->C18-neg_QI552,[M+CH4CN]+,42.05829999999999,0.024474446189060473,C18-neg_QI161,89.0228,1,C18-neg_QI552,131.0811,1.28,C18-neg
C18-neg_QI161--->C18-neg_QI570,[M+HCOO]-,45.03699999999999,0.038797148740918885,C18-neg_QI161,89.0228,1,C18-neg_QI570,134.0598,1.48,C18-neg
C18-neg_QI41--->C18-neg_QI189,[M+NH4]+,18.001199999999997,0.03262555381093435,C18-neg_QI41,78.9574,1.01,C18-neg_QI189,96.9586,1,C18-neg
C18-neg_QI189--->C18-neg_QI359,[M+NH4]+,18.025899999999993,0.007925553810938624,C18-neg_QI189,96.9586,1,C18-neg_QI359,114.9845,1.16,C18-neg
C18-neg_QI189--->C18-neg_QI362,[M+NH4]+,18.08,0.04617444618906674,C18-neg_QI189,96.9586,1,C18-neg_QI362,115.0386,1.22,C18-neg
C18-neg_QI190--->C18-neg_QI554,[M+Cl]-,35.06089999999999,0.09149874009091974,C18-neg_QI190,96.9679,1,C18-neg_QI554,132.0288,1,C18-neg
C18-neg_QI41--->C18-neg_QI190,[M+NH4]+,18.010499999999993,0.02332555381093826,C18-neg_QI41,78.9574,1.01,C18-neg_QI190,96.9679,1,C18-neg
C18-neg_QI190--->C18-neg_QI359,[M+NH4]+,18.016599999999997,0.017225553810934713,C18-neg_QI190,96.9679,1,C18-neg_QI359,114.9845,1.16,C18-neg
C18-neg_QI190--->C18-neg_QI362,[M+NH4]+,18.070700000000002,0.03687444618907065,C18-neg_QI190,96.9679,1,C18-neg_QI362,115.0386,1.22,C18-neg
C18-neg_QI328--->C18-neg_QI768,[M+CH4CN]+,42.02189999999999,0.01192555381093996,C18-neg_QI328,103.0386,1,C18-neg_QI768,145.0605,1,C18-neg
C18-neg_QI328--->C18-neg_QI765,[M+CH4CN]+,42.01060000000001,0.023225553810917177,C18-neg_QI328,103.0386,1,C18-neg_QI765,145.0492,1.09,C18-neg
C18-neg_QI328--->C18-neg_QI469,[M+NH4]+,17.989499999999992,0.044325553810939056,C18-neg_QI328,103.0386,1,C18-neg_QI469,121.0281,1.13,C18-neg
C18-neg_QI328--->C18-neg_QI764,[M+CH4CN]+,42.01060000000001,0.023225553810917177,C18-neg_QI328,103.0386,1,C18-neg_QI764,145.0492,1.31,C18-neg
C18-neg_QI328--->C18-neg_QI769,[M+CH4CN]+,42.02189999999999,0.01192555381093996,C18-neg_QI328,103.0386,1,C18-neg_QI769,145.0605,1.38,C18-neg
C18-neg_QI553--->C18-neg_QI539,[M-H]-,-1.0315999999999974,0.024323547679067303,C18-neg_QI553,131.0812,1,C18-neg_QI539,130.0496,1,C18-neg
C18-neg_QI539--->C18-neg_QI1260,[M+HCOO]-,45.02160000000001,0.02339714874093346,C18-neg_QI539,130.0496,1,C18-neg_QI1260,175.0712,1,C18-neg
C18-neg_QI551--->C18-neg_QI539,[M-H]-,-1.020399999999995,0.013123547679064984,C18-neg_QI551,131.07,1.02,C18-neg_QI539,130.0496,1,C18-neg
C18-neg_QI160--->C18-neg_QI539,[M+CH4CN]+,42.01089999999999,0.02292555381093564,C18-neg_QI160,88.0387,1.03,C18-neg_QI539,130.0496,1,C18-neg
C18-neg_QI539--->C18-neg_QI1259,[M+HCOO]-,44.963600000000014,0.034602851259059264,C18-neg_QI539,130.0496,1,C18-neg_QI1259,175.0132,1.08,C18-neg
C18-neg_QI539--->C18-neg_QI1258,[M+HCOO]-,44.96350000000001,0.034702851259062584,C18-neg_QI539,130.0496,1,C18-neg_QI1258,175.0131,1.21,C18-neg
C18-neg_QI539--->C18-neg_QI1095,[M+Cl]-,34.968500000000006,0.0009012599090638673,C18-neg_QI539,130.0496,1,C18-neg_QI1095,165.0181,1.24,C18-neg
C18-neg_QI539--->C18-neg_QI1401,[M+CH3COO]-,58.9357,0.07815291571907323,C18-neg_QI539,130.0496,1,C18-neg_QI1401,188.9853,1.27,C18-neg
C18-neg_QI552--->C18-neg_QI539,[M-H]-,-1.031499999999994,0.024223547679063984,C18-neg_QI552,131.0811,1.28,C18-neg_QI539,130.0496,1,C18-neg
C18-neg_QI526--->C18-neg_QI539,M+1,0.9952999999999861,0.008054837800013814,C18-neg_QI526,129.0543,1.32,C18-neg_QI539,130.0496,1,C18-neg
C18-neg_QI539--->C18-neg_QI1257,[M+HCOO]-,44.93629999999999,0.06190285125908446,C18-neg_QI539,130.0496,1,C18-neg_QI1257,174.9859,1.35,C18-neg
C18-neg_QI539--->C18-neg_QI1400,[M+CH3COO]-,58.935599999999994,0.07825291571907655,C18-neg_QI539,130.0496,1,C18-neg_QI1400,188.9852,1.44,C18-neg
C18-neg_QI539--->C18-neg_QI1245,[M+CH4CN]+,41.95660000000001,0.07722555381091922,C18-neg_QI539,130.0496,1,C18-neg_QI1245,172.0062,1.52,C18-neg
C18-neg_QI545--->C18-neg_QI553,M+1,0.9951999999999828,0.008154837800017134,C18-neg_QI545,130.086,1,C18-neg_QI553,131.0812,1,C18-neg
