transformation,closest_reaction,delta_mz_observed,delta_mz_error,metabolite_from,mz_from,rt_from,metabolite_to,mz_to,rt_to,method
HILIC-pos_QI381--->HILIC-pos_QI934,[M+K]+,39.022999999999996,0.059841899909066854,HILIC-pos_QI381,94.0419,0.32,HILIC-pos_QI934,133.0649,0.31,HILIC-pos
HILIC-pos_QI934--->HILIC-pos_QI948,M+1,0.9953000000000145,0.008054837799985393,HILIC-pos_QI934,133.0649,0.31,HILIC-pos_QI948,134.0602,1.04,HILIC-pos
HILIC-pos_QI934--->HILIC-pos_QI1440,[M+Na]+,22.97720000000001,0.012020700990920119,HILIC-pos_QI934,133.0649,0.31,HILIC-pos_QI1440,156.0421,1.04,HILIC-pos
HILIC-pos_QI540--->HILIC-pos_QI934,[M+Na]+,23.00439999999999,0.015179299009059122,HILIC-pos_QI540,110.0605,1.08,HILIC-pos_QI934,133.0649,0.31,HILIC-pos
HILIC-pos_QI538--->HILIC-pos_QI934,[M+Na]+,23.00439999999999,0.015179299009059122,HILIC-pos_QI538,110.0605,1.42,HILIC-pos_QI934,133.0649,0.31,HILIC-pos
HILIC-pos_QI381--->HILIC-pos_QI934,[M+K]+,39.022999999999996,0.059841899909066854,HILIC-pos_QI381,94.0419,0.32,HILIC-pos_QI934,133.0649,0.31,HILIC-pos
HILIC-pos_QI381--->HILIC-pos_QI932,[M+K]+,39.01050000000001,0.04734189990907822,HILIC-pos_QI381,94.0419,0.32,HILIC-pos_QI932,133.0524,1.1,HILIC-pos
HILIC-pos_QI478--->HILIC-pos_QI826,[M+Na]+,23.004500000000007,0.015279299009076652,HILIC-pos_QI478,104.1074,0.35,HILIC-pos_QI826,127.1119,0.32,HILIC-pos
HILIC-pos_QI826--->HILIC-pos_QI1660,[M+K]+,38.97439999999999,0.011241899909059327,HILIC-pos_QI826,127.1119,0.32,HILIC-pos_QI1660,166.0863,1.04,HILIC-pos
HILIC-pos_QI826--->HILIC-pos_QI3219,[M+CF3COO]-,112.94169999999998,0.04388747902909529,HILIC-pos_QI826,127.1119,0.32,HILIC-pos_QI3219,240.0536,1.2,HILIC-pos
HILIC-pos_QI826--->HILIC-pos_QI808,[M-H]-,-1.0567000000000064,0.04942354767907631,HILIC-pos_QI826,127.1119,0.32,HILIC-pos_QI808,126.0552,1.28,HILIC-pos
HILIC-pos_QI478--->HILIC-pos_QI826,[M+Na]+,23.004500000000007,0.015279299009076652,HILIC-pos_QI478,104.1074,0.35,HILIC-pos_QI826,127.1119,0.32,HILIC-pos
HILIC-pos_QI478--->HILIC-pos_QI822,[M+Na]+,22.932000000000002,0.057220700990928464,HILIC-pos_QI478,104.1074,0.35,HILIC-pos_QI822,127.0394,1.03,HILIC-pos
HILIC-pos_QI478--->HILIC-pos_QI820,[M+Na]+,22.931799999999996,0.0574207009909351,HILIC-pos_QI478,104.1074,0.35,HILIC-pos_QI820,127.0392,1.38,HILIC-pos
HILIC-pos_QI5348--->HILIC-pos_QI5498,[M+Na]+,22.946399999999983,0.04282070099094781,HILIC-pos_QI5348,436.3422,0.35,HILIC-pos_QI5498,459.2886,1.18,HILIC-pos
HILIC-pos_QI5348--->HILIC-pos_QI5501,[M+Na]+,23.015800000000013,0.02657929900908229,HILIC-pos_QI5348,436.3422,0.35,HILIC-pos_QI5501,459.358,1.37,HILIC-pos
HILIC-pos_QI5226--->HILIC-pos_QI5348,[M+NH4]+,18.01940000000002,0.014425553810912817,HILIC-pos_QI5226,418.3228,1.44,HILIC-pos_QI5348,436.3422,0.35,HILIC-pos
HILIC-pos_QI5348--->HILIC-pos_QI5720,[M+CH3COO]-,59.09879999999998,0.08494708428091258,HILIC-pos_QI5348,436.3422,0.35,HILIC-pos_QI5720,495.441,1.53,HILIC-pos
HILIC-pos_QI808--->HILIC-pos_QI2125,[M+CH3COO]-,58.930400000000006,0.08345291571906444,HILIC-pos_QI808,126.0552,1.28,HILIC-pos_QI2125,184.9856,0.38,HILIC-pos
HILIC-pos_QI2125--->HILIC-pos_QI2862,[M+K]+,39.002700000000004,0.039541899909075084,HILIC-pos_QI2125,184.9856,0.38,HILIC-pos_QI2862,223.9883,1.43,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2740,[M+HCOO]-,44.99280000000002,0.005402851259056263,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2740,216.0943,0.83,HILIC-pos
HILIC-pos_QI2740--->HILIC-pos_QI3113,[M+NH4]+,17.985199999999992,0.04862555381093969,HILIC-pos_QI2740,216.0943,0.83,HILIC-pos_QI3113,234.0795,1.04,HILIC-pos
HILIC-pos_QI1784--->HILIC-pos_QI2740,[M+HCOO]-,45.0453,0.04709714874092441,HILIC-pos_QI1784,171.049,1.33,HILIC-pos_QI2740,216.0943,0.83,HILIC-pos
HILIC-pos_QI1802--->HILIC-pos_QI2740,[M+HCOO]-,44.99280000000002,0.005402851259056263,HILIC-pos_QI1802,171.1015,1.39,HILIC-pos_QI2740,216.0943,0.83,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2734,[M+HCOO]-,44.99260000000001,0.005602851259062902,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2734,216.0941,0.88,HILIC-pos
HILIC-pos_QI2734--->HILIC-pos_QI3113,[M+NH4]+,17.9854,0.04842555381093305,HILIC-pos_QI2734,216.0941,0.88,HILIC-pos_QI3113,234.0795,1.04,HILIC-pos
HILIC-pos_QI1784--->HILIC-pos_QI2734,[M+HCOO]-,45.04509999999999,0.04689714874091777,HILIC-pos_QI1784,171.049,1.33,HILIC-pos_QI2734,216.0941,0.88,HILIC-pos
HILIC-pos_QI1802--->HILIC-pos_QI2734,[M+HCOO]-,44.99260000000001,0.005602851259062902,HILIC-pos_QI1802,171.1015,1.39,HILIC-pos_QI2734,216.0941,0.88,HILIC-pos
HILIC-pos_QI3807--->HILIC-pos_QI4042,[M+NH4]+,17.988699999999994,0.04512555381093719,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos_QI4042,297.1115,0.97,HILIC-pos
HILIC-pos_QI3807--->HILIC-pos_QI3820,M+1,0.9256000000000313,0.07775483779996861,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos
HILIC-pos_QI3472--->HILIC-pos_QI3807,[M+Na]+,23.061499999999967,0.07227929900903618,HILIC-pos_QI3472,256.0613,1.01,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos
HILIC-pos_QI1660--->HILIC-pos_QI3807,[M+CF3COO]-,113.03649999999999,0.050912520970911146,HILIC-pos_QI1660,166.0863,1.04,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos
HILIC-pos_QI3113--->HILIC-pos_QI3807,[M+HCOO]-,45.04329999999999,0.04509714874091486,HILIC-pos_QI3113,234.0795,1.04,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos
HILIC-pos_QI3807--->HILIC-pos_QI4300,[M+K]+,39.02539999999999,0.06224189990906126,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos_QI4300,318.1482,1.05,HILIC-pos
HILIC-pos_QI3838--->HILIC-pos_QI3820,[M-H]-,-1.0679999999999836,0.060723547679053524,HILIC-pos_QI3838,281.1164,0.96,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos
HILIC-pos_QI3838--->HILIC-pos_QI4143,[M+Na]+,23.016099999999994,0.02687929900906383,HILIC-pos_QI3838,281.1164,0.96,HILIC-pos_QI4143,304.1325,1.06,HILIC-pos
HILIC-pos_QI3838--->HILIC-pos_QI4066,[M+NH4]+,18.010800000000017,0.02302555381091409,HILIC-pos_QI3838,281.1164,0.96,HILIC-pos_QI4066,299.1272,1.17,HILIC-pos
HILIC-pos_QI3219--->HILIC-pos_QI3885,[M+HCOO]-,44.989100000000036,0.009102851259036981,HILIC-pos_QI3219,240.0536,1.2,HILIC-pos_QI3885,285.0427,0.97,HILIC-pos
HILIC-pos_QI3268--->HILIC-pos_QI3885,[M+CH4CN]+,42.040400000000034,0.006574446189105743,HILIC-pos_QI3268,243.0023,1.26,HILIC-pos_QI3885,285.0427,0.97,HILIC-pos
HILIC-pos_QI3807--->HILIC-pos_QI4042,[M+NH4]+,17.988699999999994,0.04512555381093719,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos_QI4042,297.1115,0.97,HILIC-pos
HILIC-pos_QI3809--->HILIC-pos_QI4042,[M+NH4]+,17.97429999999997,0.059525553810960474,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos_QI4042,297.1115,0.97,HILIC-pos
HILIC-pos_QI4042--->HILIC-pos_QI4266,[M+NH4]+,18.010400000000004,0.02342555381092737,HILIC-pos_QI4042,297.1115,0.97,HILIC-pos_QI4266,315.1219,1.24,HILIC-pos
HILIC-pos_QI3412--->HILIC-pos_QI4042,[M+HCOO]-,45.05789999999999,0.05969714874091636,HILIC-pos_QI3412,252.0536,1.33,HILIC-pos_QI4042,297.1115,0.97,HILIC-pos
HILIC-pos_QI5823--->HILIC-pos_QI5954,[M+Na]+,23.016399999999976,0.027179299009045366,HILIC-pos_QI5823,514.1884,0.97,HILIC-pos_QI5954,537.2048,1.05,HILIC-pos
HILIC-pos_QI6942--->HILIC-pos_QI7045,[M+Na]+,23.015300000000025,0.026079299009094115,HILIC-pos_QI6942,747.2612,0.97,HILIC-pos_QI7045,770.2765,1.04,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2740,[M+HCOO]-,44.99280000000002,0.005402851259056263,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2740,216.0943,0.83,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2734,[M+HCOO]-,44.99260000000001,0.005602851259062902,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2734,216.0941,0.88,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2736,[M+HCOO]-,44.99260000000001,0.005602851259062902,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2736,216.0941,1.03,HILIC-pos
HILIC-pos_QI1262--->HILIC-pos_QI1801,[M+Na]+,23.0257,0.03647929900906988,HILIC-pos_QI1262,148.0758,1.04,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2565,[M+Cl]-,34.9469,0.02250125990907037,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2565,206.0484,1.04,HILIC-pos
