Metabolite	Method	m.z	RT
C14:0_LPC_C8-pos	C8-pos	468.3086	4.34
C16:1_LPC_C8-pos	C8-pos	494.3242	4.49
C16:0_LPC	C8-pos	496.3397	4.83
C18:2_LPC_C8-pos	C8-pos	520.3399	4.67
C18:1_LPC_C8-pos	C8-pos	522.3555	5.01
C18:0_LPC_C8-pos	C8-pos	524.3712	5.4
C20:5_LPC	C8-pos	542.3219	4.56
C20:4_LPC_C8-pos	C8-pos	544.3403	4.69
C20:3_LPC	C8-pos	518.3216	4.83
C22:6_LPC_C8-pos	C8-pos	568.34	4.67
C16:0_LPE_C8-pos	C8-pos	454.2927	4.85
C18:2_LPE_C8-pos	C8-pos	478.2928	4.68
C18:1_LPE_C8-pos	C8-pos	480.3085	5.01
C18:0_LPE	C8-pos	482.3243	5.41
C20:4_LPE_C8-pos	C8-pos	502.2926	4.7
C20:0_LPE	C8-pos	510.3556	5.11
C22:6_LPE_C8-pos	C8-pos	526.2925	4.68
C22:0_LPE	C8-pos	538.3868	5.71
C30:1_PC	C8-pos	704.5224	7.78
C30:0_PC	C8-pos	706.5376	8.12
C32:2_PC	C8-pos	730.5377	7.93
C32:1_PC	C8-pos	732.5535	8.28
C32:0_PC	C8-pos	734.5691	8.59
C34:4_PC	C8-pos	754.5375	7.96
C34:3_PC	C8-pos	756.5531	8.13
C34:2_PC	C8-pos	758.5691	8.42
C34:1_PC	C8-pos	760.5848	8.74
C34:0_PC	C8-pos	762.6002	9.05
C36:4_PC-A	C8-pos	782.5688	8.25
C36:4_PC-B	C8-pos	782.5683	8.45
C36:3_PC	C8-pos	784.5851	8.6
C36:2_PC	C8-pos	786.5999	8.89
C36:1_PC	C8-pos	788.6161	9.18
C36:0_PC	C8-pos	790.632	9.45
C38:6_PC	C8-pos	806.5686	8.38
C38:4_PC	C8-pos	810.5989	8.91
C38:3_PC	C8-pos	812.6156	9.05
C38:2_PC	C8-pos	814.6316	9.27
C40:10_PC	C8-pos	826.5353	8.05
C40:9_PC	C8-pos	828.5503	8.38
C40:6_PC	C8-pos	834.5994	8.84
