metabolites,possible_transformation,transformation_diff_abs,delta_mz,method_1,mz_1,rt_1,method_2,mz_2,rt_2
C8-pos_cmp.QI2572-----C8-pos_cmp.QI2344,Ethylation,1.28919900533e-07,28.0313,C8-pos,540.3662,4.19,C8-pos,512.3349,3.93
C8-pos_cmp.QI2572-----C8-pos_cmp.QI2345,Ethylation,1.28919900533e-07,28.0313,C8-pos,540.3662,4.19,C8-pos,512.3349,4.43
C8-pos_cmp.QI2571-----C8-pos_cmp.QI2344,Ethylation,1.28919900533e-07,28.0313,C8-pos,540.3662,4.95,C8-pos,512.3349,3.93
C8-pos_cmp.QI2571-----C8-pos_cmp.QI2345,Ethylation,1.28919900533e-07,28.0313,C8-pos,540.3662,4.95,C8-pos,512.3349,4.43
C8-pos_cmp.QI2629-----C8-pos_cmp.QI2413,Ethylation,1.28919900533e-07,28.0313,C8-pos,548.3712,5.17,C8-pos,520.3399,4.56
C8-pos_cmp.QI2629-----C18:2_LPC_C8-pos,Ethylation,1.28919900533e-07,28.0313,C8-pos,548.3712,5.17,C8-pos,520.3399,4.67
C8-pos_cmp.QI2670-----C8-pos_cmp.QI2437,Ethylation,1.28919900533e-07,28.0313,C8-pos,551.5034,12.34,C8-pos,523.4721,11.72
C8-pos_cmp.QI2670-----C8-pos_cmp.QI2436,Ethylation,1.28919900533e-07,28.0313,C8-pos,551.5034,12.34,C8-pos,523.4721,11.63
C8-pos_cmp.QI2669-----C8-pos_cmp.QI2437,Ethylation,1.28919900533e-07,28.0313,C8-pos,551.5034,12.07,C8-pos,523.4721,11.72
C8-pos_cmp.QI2669-----C8-pos_cmp.QI2436,Ethylation,1.28919900533e-07,28.0313,C8-pos,551.5034,12.07,C8-pos,523.4721,11.63
C8-pos_cmp.QI3892-----C8-pos_cmp.QI3594,Ethylation,1.28919900533e-07,28.0313,C8-pos,669.1796,6.24,C8-pos,641.1483,5.57
C8-pos_cmp.QI3995-----C8-pos_cmp.QI3679,Ethylation,1.28919900533e-07,28.0313,C8-pos,678.5066,7.61,C8-pos,650.4753,7.06
C22:6_CE_+NH4-----C8-pos_cmp.QI4090,Ethylation,1.28919900533e-07,28.0313,C8-pos,714.618,11.56,C8-pos,686.5867,11.13
C44:2_TAG_+NH4-----C8-pos_cmp.QI4642,Ethylation,1.28919900533e-07,28.0313,C8-pos,764.676,10.77,C8-pos,736.6447,10.4
C8-pos_cmp.QI4800-----C8-pos_cmp.QI4487,Ethylation,1.28919900533e-07,28.0313,C8-pos,752.5564,9.47,C8-pos,724.5251,9.03
C8-pos_cmp.QI5246-----C36:5_PC_plasmalogen-B,Ethylation,1.28919900533e-07,28.0313,C8-pos,794.6044,9.18,C8-pos,766.5731,8.73
C47:1_TAG_+NH4-----C45:1_TAG_+NH4,Ethylation,1.28919900533e-07,28.0313,C8-pos,808.7385,11.55,C8-pos,780.7072,11.21
C8-pos_cmp.QI6433-----C8-pos_cmp.QI6144,Ethylation,1.28919900533e-07,28.0313,C8-pos,898.5537,8.51,C8-pos,870.5224,8.17
C8-pos_cmp.QI5907-----C8-pos_cmp.QI5598,Ethylation,1.28919900533e-07,28.0313,C8-pos,850.5537,8.74,C8-pos,822.5224,8.28
C8-pos_cmp.QI6455-----C8-pos_cmp.QI6180,Ethylation,1.28919900533e-07,28.0313,C8-pos,901.5727,8.79,C8-pos,873.5414,8.25
C8-pos_cmp.QI6491-----C8-pos_cmp.QI6218,Ethylation,1.28919900533e-07,28.0313,C8-pos,905.6692,9.99,C8-pos,877.6379,9.56
C8-pos_cmp.QI6650-----C8-pos_cmp.QI6409,Ethylation,1.28919900533e-07,28.0313,C8-pos,923.7653,10.97,C8-pos,895.734,10.94
C8-pos_cmp.QI608-----C8-pos_cmp.QI473,Ethylation,1.28919957376e-07,28.0313,C8-pos,256.227,3.86,C8-pos,228.1957,3.61
C8-pos_cmp.QI950-----C8-pos_cmp.QI745,Ethylation,1.28919957376e-07,28.0313,C8-pos,310.2352,3.86,C8-pos,282.2039,3.61
C8-pos_cmp.QI1034-----C8-pos_cmp.QI804,Ethylation,1.28919957376e-07,28.0313,C8-pos,319.2841,4.72,C8-pos,291.2528,4.25
C8-pos_cmp.QI1015-----C8-pos_cmp.QI787,Ethylation,1.28919957376e-07,28.0313,C8-pos,316.2481,3.65,C8-pos,288.2168,3.29
C8-pos_cmp.QI1141-----C8-pos_cmp.QI944,Ethylation,1.28919957376e-07,28.0313,C8-pos,337.2712,5.61,C8-pos,309.2399,4.62
C8-pos_cmp.QI1230-----C8-pos_cmp.QI1066,Ethylation,1.28919957376e-07,28.0313,C8-pos,353.23,3.83,C8-pos,325.1987,3.64
C8-pos_cmp.QI1273-----C8-pos_cmp.QI1098,Ethylation,1.28919957376e-07,28.0313,C8-pos,358.295,3.98,C8-pos,330.2637,3.74
C8-pos_cmp.QI1273-----C8-pos_cmp.QI1099,Ethylation,1.28919957376e-07,28.0313,C8-pos,358.295,3.98,C8-pos,330.2637,4.16
C8-pos_cmp.QI1423-----C8-pos_cmp.QI1209,Ethylation,1.28919957376e-07,28.0313,C8-pos,378.3577,5.62,C8-pos,350.3264,10.83
C8-pos_cmp.QI1423-----C8-pos_cmp.QI1208,Ethylation,1.28919957376e-07,28.0313,C8-pos,378.3577,5.62,C8-pos,350.3264,5.54
C8-pos_cmp.QI1437-----C8-pos_cmp.QI1233,Ethylation,1.28919957376e-07,28.0313,C8-pos,381.2764,5.65,C8-pos,353.2451,5.49
C8-pos_cmp.QI1585-----C8-pos_cmp.QI1411,Ethylation,1.28919957376e-07,28.0313,C8-pos,405.3573,5.62,C8-pos,377.326,13.63
C8-pos_cmp.QI1585-----C8-pos_cmp.QI1412,Ethylation,1.28919957376e-07,28.0313,C8-pos,405.3573,5.62,C8-pos,377.326,5.51
C8-pos_cmp.QI1585-----C8-pos_cmp.QI1413,Ethylation,1.28919957376e-07,28.0313,C8-pos,405.3573,5.62,C8-pos,377.326,6.94
C8-pos_cmp.QI1585-----C8-pos_cmp.QI1414,Ethylation,1.28919957376e-07,28.0313,C8-pos,405.3573,5.62,C8-pos,377.326,4.78
C8-pos_cmp.QI2142-----C8-pos_cmp.QI1947,Ethylation,1.28919957376e-07,28.0313,C8-pos,483.8013,9.28,C8-pos,455.77,8.33
C8-pos_cmp.QI2320-----C18:1_LPE_C8-pos,Ethylation,1.28919957376e-07,28.0313,C8-pos,508.3398,4.74,C8-pos,480.3085,5.01
