metabolites,possible_transformation,transformation_diff_abs,delta_mz,method_1,mz_1,rt_1,method_2,mz_2,rt_2
HILIC-pos_3077-----HILIC-pos_3667,Ethylation,1.28919900533e-07,28.0313,HILIC-pos,580.4169,5.73,HILIC-pos,552.3856,6.62
HILIC-pos_1636-----HILIC-pos_3020,Ethylation,1.28919900533e-07,28.0313,HILIC-pos,557.4142,1.98,HILIC-pos,529.3829,5.49
HILIC-pos_832-----HILIC-pos_873,Ethylation,1.28919900533e-07,28.0313,HILIC-pos,630.6189,1.75,HILIC-pos,602.5876,1.75
HILIC-pos_2616-----HILIC-pos_2846,Ethylation,1.28919900533e-07,28.0313,HILIC-pos,632.4586,3.79,HILIC-pos,604.4273,4.96
HILIC-pos_4637-----HILIC-pos_4698,Ethylation,1.28919900533e-07,28.0313,HILIC-pos,751.5727,8.06,HILIC-pos,723.5414,8.17
HILIC-pos_364-----HILIC-pos_572,Ethylation,1.28919900533e-07,28.0313,HILIC-pos,744.4894,1.62,HILIC-pos,716.4581,1.67
HILIC-pos_2384-----HILIC-pos_2610,Ethylation,1.28919900533e-07,28.0313,HILIC-pos,776.5733,3.03,HILIC-pos,748.542,3.78
HILIC-pos_1691-----HILIC-pos_2610,Ethylation,1.28919900533e-07,28.0313,HILIC-pos,776.5733,1.99,HILIC-pos,748.542,3.78
HILIC-pos_147-----HILIC-pos_150,Ethylation,1.28919900533e-07,28.0313,HILIC-pos,794.7231,1.5,HILIC-pos,766.6918,1.5
HILIC-pos_413-----HILIC-pos_864,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,293.2114,1.64,HILIC-pos,265.1801,1.75
HILIC-pos_823-----HILIC-pos_1510,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,299.1856,1.74,HILIC-pos,271.1543,1.98
HILIC-pos_1286-----HILIC-pos_1224,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,329.2325,1.92,HILIC-pos,301.2012,1.89
HILIC-pos_1286-----HILIC-pos_1415,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,329.2325,1.92,HILIC-pos,301.2012,1.97
HILIC-pos_1124-----HILIC-pos_1224,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,329.2325,1.84,HILIC-pos,301.2012,1.89
HILIC-pos_1124-----HILIC-pos_1415,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,329.2325,1.84,HILIC-pos,301.2012,1.97
HILIC-pos_969-----HILIC-pos_1061,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,406.244,1.79,HILIC-pos,378.2127,1.81
HILIC-pos_1931-----HILIC-pos_1980,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,313.1623,2.37,HILIC-pos,285.131,2.38
lauroylcarnitine-----decanoylcarnitine,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,344.2798,7.85,HILIC-pos,316.2485,8.05
HILIC-pos_852-----HILIC-pos_925,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,327.2533,1.75,HILIC-pos,299.222,1.78
HILIC-pos_4436-----HILIC-pos_4503,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,396.3113,7.67,HILIC-pos,368.28,7.77
HILIC-pos_2121-----HILIC-pos_1926,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,413.2173,2.39,HILIC-pos,385.186,2.37
HILIC-pos_1372-----HILIC-pos_782,Ethylation,1.28919957376e-07,28.0313,HILIC-pos,389.2694,1.96,HILIC-pos,361.2381,1.72
