metabolites,possible_transformation,transformation_diff_abs,delta_mz,method_1,mz_1,rt_1,method_2,mz_2,rt_2
LIPID_2780-----LIPID_5207,Ethylation,1.28919900533e-07,28.0313,LIPID,603.5342,12.86,LIPID,575.5029,18.18
C16:0_CE-----C14:0_CE,Ethylation,1.28919900533e-07,28.0313,LIPID,647.5736,18.84,LIPID,619.5423,18.28
LIPID_2836-----LIPID_5144,Ethylation,1.28919900533e-07,28.0313,LIPID,627.5342,12.95,LIPID,599.5029,17.88
LIPID_3764-----LIPID_3364,Ethylation,1.28919900533e-07,28.0313,LIPID,664.5872,14.75,LIPID,636.5559,13.98
C14:0_SM-----LIPID_2211,Ethylation,1.28919900533e-07,28.0313,LIPID,675.5433,12.03,LIPID,647.512,11.13
LIPID_3353-----LIPID_2909,Ethylation,1.28919900533e-07,28.0313,LIPID,792.551,13.97,LIPID,764.5197,13.13
LIPID_5480-----LIPID_5342,Ethylation,1.28919900533e-07,28.0313,LIPID,867.7779,19.26,LIPID,839.7466,18.75
LIPID_3747-----LIPID_3665,Ethylation,1.28919900533e-07,28.0313,LIPID,844.618,14.71,LIPID,816.5867,14.56
C56:5_TAG-----LIPID_5907,Ethylation,1.28919900533e-07,28.0313,LIPID,931.771,18.66,LIPID,903.7397,20.86
C56:5_TAG-----LIPID_6100,Ethylation,1.28919900533e-07,28.0313,LIPID,931.771,18.66,LIPID,903.7397,21.73
C56:5_TAG-----LIPID_6021,Ethylation,1.28919900533e-07,28.0313,LIPID,931.771,18.66,LIPID,903.7397,21.36
LIPID_5410-----LIPID_5215,Ethylation,1.28919900533e-07,28.0313,LIPID,952.8313,18.96,LIPID,924.8,18.2
LIPID_3708-----LIPID_3117,Ethylation,1.28919900533e-07,28.0313,LIPID,1080.606,14.6,LIPID,1052.5747,13.54
LIPID_848-----LIPID_677,Ethylation,1.28919957376e-07,28.0313,LIPID,471.2952,7.22,LIPID,443.2639,6.93
LIPID_571-----LIPID_278,Ethylation,1.28919957376e-07,28.0313,LIPID,470.369,6.78,LIPID,442.3377,6.49
LIPID_842-----LIPID_662,Ethylation,1.28919957376e-07,28.0313,LIPID,488.3219,7.22,LIPID,460.2906,6.93
LIPID_525-----LIPID_327,Ethylation,1.28919957376e-07,28.0313,LIPID,511.2883,6.74,LIPID,483.257,6.52
LIPID_811-----LIPID_631,Ethylation,1.28919957376e-07,28.0313,LIPID,531.3531,7.16,LIPID,503.3218,6.86
LIPID_726-----LIPID_566,Ethylation,1.28919957376e-07,28.0313,LIPID,517.3372,7.01,LIPID,489.3059,6.77
LIPID_1649-----LIPID_1341,Ethylation,1.2892001422e-07,28.0313,LIPID,433.2299,8.83,LIPID,405.1986,8.11
LIPID_735-----LIPID_223,Ethylation,1.2892001422e-07,28.0313,LIPID,455.2985,7.03,LIPID,427.2672,6.34
LIPID_1935-----LIPID_1904,Ethylation,1.2892001422e-07,28.0313,LIPID,492.405,9.67,LIPID,464.3737,9.46
LIPID_1935-----LIPID_1706,Ethylation,1.2892001422e-07,28.0313,LIPID,492.405,9.67,LIPID,464.3737,8.92
LIPID_1853-----LIPID_2000,Ethylation,1.2892001422e-07,28.0313,LIPID,447.3468,9.2,LIPID,419.3155,9.85
LIPID_2146-----LIPID_2000,Ethylation,1.2892001422e-07,28.0313,LIPID,447.3468,10.59,LIPID,419.3155,9.85
LIPID_2072-----LIPID_1898,Ethylation,1.2892001422e-07,28.0313,LIPID,455.3132,10.19,LIPID,427.2819,9.41
LIPID_1066-----LIPID_848,Ethylation,1.2892001422e-07,28.0313,LIPID,499.3265,7.56,LIPID,471.2952,7.22
LIPID_3691-----LIPID_2870,Ethylation,1.2892001422e-07,28.0313,LIPID,498.7967,14.59,LIPID,470.7654,13.02
LIPID_627-----LIPID_374,Ethylation,1.2892001422e-07,28.0313,LIPID,547.2857,6.86,LIPID,519.2544,6.61
LIPID_3567-----LIPID_2692,Ethylation,1.2892001422e-07,28.0313,LIPID,548.7897,14.35,LIPID,520.7584,12.64
LIPID_1895-----LIPID_1085,Ethylation,1.2892001422e-07,28.0313,LIPID,544.3379,9.37,LIPID,516.3066,7.58
LIPID_2100-----LIPID_1874,Ethylation,1.2892001422e-07,28.0313,LIPID,538.4234,10.31,LIPID,510.3921,9.3
LIPID_1326-----LIPID_982,Ethylation,1.2892001422e-07,28.0313,LIPID,513.1726,8.08,LIPID,485.1413,7.43
LIPID_1681-----LIPID_1326,Ethylation,1.2892001422e-07,28.0313,LIPID,541.2039,8.89,LIPID,513.1726,8.08
LIPID_1453-----LIPID_1626,Ethylation,1.2892001422e-07,28.0313,LIPID,532.3375,8.39,LIPID,504.3062,8.79
