metabolites,possible_transformation,transformation_diff_abs,delta_mz,method_1,mz_1,rt_1,method_2,mz_2,rt_2
C8-pos_1135-----C8-pos_1102,Ethylation,1.28919900533e-07,28.0313,C8-pos,769.6307,10.96,C8-pos,741.5994,10.62
C8-pos_785-----C8-pos_541,Ethylation,1.28919900533e-07,28.0313,C8-pos,924.57,9.18,C8-pos,896.5387,8.74
C8-pos_1055-----C8-pos_984,Ethylation,1.28919900533e-07,28.0313,C8-pos,837.6814,10.18,C8-pos,809.6501,9.77
C8-pos_1370-----C8-pos_1243,Ethylation,1.28919900533e-07,28.0313,C8-pos,801.6932,11.81,C8-pos,773.6619,11.46
C16:1_MAG-----C8-pos_195,Ethylation,1.28919957376e-07,28.0313,C8-pos,346.295,5.26,C8-pos,318.2637,4.47
C8-pos_1738-----C8-pos_1466,Ethylation,1.28919957376e-07,28.0313,C8-pos,397.3826,12.75,C8-pos,369.3513,11.99
C8-pos_1738-----C8-pos_1603,Ethylation,1.28919957376e-07,28.0313,C8-pos,397.3826,12.75,C8-pos,369.3513,12.31
C8-pos_111-----C8-pos_1109,Ethylation,1.28919985798e-07,28.0313,C8-pos,278.209,3.97,C8-pos,250.1777,10.74
C8-pos_1929-----C8-pos_287,Ethylation,1.2892001422e-07,28.0313,C8-pos,338.3415,14.13,C8-pos,310.3102,6.07
C8-pos_298-----C8-pos_287,Ethylation,1.2892001422e-07,28.0313,C8-pos,338.3415,6.71,C8-pos,310.3102,6.07
C8-pos_1144-----C8-pos_260,Ethylation,1.2892001422e-07,28.0313,C8-pos,381.297,11.05,C8-pos,353.2657,5.43
C16:0_LPC-----C14:0_LPC,Ethylation,1.2892001422e-07,28.0313,C8-pos,496.3397,5.04,C8-pos,468.3084,4.51
C18:0_LPC-----C8-pos_225,Ethylation,1.2892001422e-07,28.0313,C8-pos,524.3709,5.64,C8-pos,496.3396,4.91
C8-pos_279-----C20:3_LPC,Ethylation,1.2892001422e-07,28.0313,C8-pos,546.3528,5.64,C8-pos,518.3215,5.04
C8-pos_274-----C20:3_LPC,Ethylation,1.2892001422e-07,28.0313,C8-pos,546.3528,5.49,C8-pos,518.3215,5.04
C8-pos_614-----C8-pos_1509,Ethylation,1.2892001422e-07,28.0313,C8-pos,603.5341,8.91,C8-pos,575.5028,12.08
C36:1_DAG-----C34:1_DAG,Ethylation,1.2892001422e-07,28.0313,C8-pos,640.5871,9.89,C8-pos,612.5558,9.47
C8-pos_951-----C8-pos_686,Ethylation,1.2892001422e-07,28.0313,C8-pos,667.5266,9.58,C8-pos,639.4953,9.04
C18:2_CE-----C8-pos_1302,Ethylation,1.2892001422e-07,28.0313,C8-pos,666.6177,11.99,C8-pos,638.5864,11.63
C16:1_SM-----C8-pos_322,Ethylation,1.2892001422e-07,28.0313,C8-pos,701.5586,8.07,C8-pos,673.5273,7.58
C18:0_SM-----C16:0_SM,Ethylation,1.2892001422e-07,28.0313,C8-pos,731.6054,8.91,C8-pos,703.5741,8.43
C18:1_SM-----C16:1_SM,Ethylation,1.2892001422e-07,28.0313,C8-pos,729.5899,8.59,C8-pos,701.5586,8.07
C8-pos_1155-----C8-pos_1112,Ethylation,1.2892001422e-07,28.0313,C8-pos,745.6309,11.12,C8-pos,717.5996,10.75
C22:0_SM-----C20:0_SM,Ethylation,1.2892001422e-07,28.0313,C8-pos,787.6681,9.77,C8-pos,759.6368,9.39
C46:0_TAG-----C44:0_TAG,Ethylation,1.2892001422e-07,28.0313,C8-pos,796.7379,11.81,C8-pos,768.7066,11.47
C58:6_TAG-----C56:6_TAG,Ethylation,1.2892001422e-07,28.0313,C8-pos,952.8328,12.45,C8-pos,924.8015,12.2
C8-pos_1764-----C8-pos_1682,Ethylation,1.2892001422e-07,28.0313,C8-pos,885.7871,12.92,C8-pos,857.7558,12.52
C8-pos_1478-----C8-pos_1305,Ethylation,1.2892001422e-07,28.0313,C8-pos,869.6985,12.0,C8-pos,841.6672,11.65
C8-pos_777-----C38:6_PC_plasmalogen,Ethylation,1.2892001422e-07,28.0313,C8-pos,820.6195,9.17,C8-pos,792.5882,9.11
C8-pos_1365-----C8-pos_1252,Ethylation,1.2892001422e-07,28.0313,C8-pos,901.7245,11.79,C8-pos,873.6932,11.5
C24:0_SM-----C22:0_SM,Ethylation,1.2892001422e-07,28.0313,C8-pos,815.6994,10.18,C8-pos,787.6681,9.77
C8-pos_656-----C8-pos_468,Ethylation,1.2892001422e-07,28.0313,C8-pos,850.5535,8.99,C8-pos,822.5222,8.54
C48:2_TAG-----C46:2_TAG,Ethylation,1.2892001422e-07,28.0313,C8-pos,820.7379,11.65,C8-pos,792.7066,11.31
C8-pos_1436-----C8-pos_1294,Ethylation,1.2892001422e-07,28.0313,C8-pos,919.7135,11.92,C8-pos,891.6822,11.6
C8-pos_1029-----C8-pos_975,Ethylation,1.2892001422e-07,28.0313,C8-pos,827.6995,9.96,C8-pos,799.6682,9.71
C8-pos_599-----C8-pos_447,Ethylation,1.2892001422e-07,28.0313,C8-pos,818.5664,8.87,C8-pos,790.5351,8.46
C8-pos_1682-----C8-pos_1530,Ethylation,1.2892001422e-07,28.0313,C8-pos,857.7558,12.52,C8-pos,829.7245,12.16
C8-pos_1530-----C8-pos_1370,Ethylation,1.2892001422e-07,28.0313,C8-pos,829.7245,12.16,C8-pos,801.6932,11.81
C8-pos_1367-----C8-pos_1248,Ethylation,1.2892001422e-07,28.0313,C8-pos,967.7141,11.8,C8-pos,939.6828,11.47
C8-pos_1207-----C8-pos_1135,Ethylation,1.28920127906e-07,28.0313,C8-pos,797.662,11.31,C8-pos,769.6307,10.96
C8-pos_1716-----C50:0_TAG,Taurine conjugation,5.94929986164e-07,107.0041,C8-pos,959.8044,12.66,C8-pos,852.8003,12.52
C20:5_CE-----C8-pos_1470,Phe → Trp,9.62969991747e-07,39.0109,C8-pos,688.6021,11.6,C8-pos,649.5912,11.99
C30:0_PC-----C8-pos_951,Phe → Trp,9.62969991747e-07,39.0109,C8-pos,706.5375,8.38,C8-pos,667.5266,9.58
C8-pos_629-----C36:3_PE_plasmalogen,Glucuronidation,1.20248000144e-05,176.0321,C8-pos,904.5902,8.94,C8-pos,728.5581,9.42
C8-pos_74-----C8-pos_40,Formylation,1.46195599697e-05,27.9949,C8-pos,317.1358,3.79,C8-pos,289.1409,3.6
C8-pos_225-----C8-pos_258,Hydroxylation,1.46195599697e-05,15.9949,C8-pos,496.3396,4.91,C8-pos,480.3447,5.36
C32:0_PC-----C8-pos_600,Hydroxylation,1.46195599697e-05,15.9949,C8-pos,734.5689,8.84,C8-pos,718.574,8.87
C8-pos_1331-----C8-pos_1726,Formylation,1.46195599697e-05,27.9949,C8-pos,719.5727,11.72,C8-pos,691.5778,12.69
C8-pos_1437-----C8-pos_1222,Hydroxylation,1.46195599697e-05,15.9949,C8-pos,910.7847,11.92,C8-pos,894.7898,11.39
C8-pos_1499-----C8-pos_1729,Formylation,1.46195599697e-05,27.9949,C8-pos,953.7562,12.05,C8-pos,925.7613,12.7
C8-pos_1245-----C8-pos_1513,Formylation,1.46195599697e-05,27.9949,C8-pos,923.7091,11.47,C8-pos,895.7142,12.1
C8-pos_99-----C8-pos_110,Hydroxylation,1.46195599982e-05,15.9949,C8-pos,253.18,3.93,C8-pos,237.1851,3.97
C8-pos_104-----C8-pos_108,Hydroxylation,1.46195600266e-05,15.9949,C8-pos,272.2217,3.94,C8-pos,256.2268,3.97
C8-pos_149-----C8-pos_135,Formylation,1.46195600266e-05,27.9949,C8-pos,324.2168,4.19,C8-pos,296.2219,4.09
C8-pos_594-----C8-pos_628,Formylation,1.46195600834e-05,27.9949,C8-pos,820.5835,8.86,C8-pos,792.5886,8.94
C8-pos_1272-----C52:4_TAG,Hydroxylation,1.46195600834e-05,15.9949,C8-pos,888.7637,11.56,C8-pos,872.7688,11.84
C8-pos_167-----C8-pos_189,Tyr → Trp,1.55825299615e-05,23.016,C8-pos,310.2374,4.38,C8-pos,287.2214,4.47
C8-pos_501-----C8-pos_600,COOH → CONH2,1.55825300752e-05,-0.984,C8-pos,717.59,8.68,C8-pos,718.574,8.87
C8-pos_46-----C8-pos_113,Carboxylation,2.92391199963e-05,43.9898,C8-pos,244.1906,3.68,C8-pos,200.2008,4.01
C8-pos_146-----C8-pos_136,Carboxylation,2.92391199963e-05,43.9898,C8-pos,279.159,4.19,C8-pos,235.1692,4.1
