transformation,closest_reaction,delta_mz_observed,delta_mz_error,metabolite_from,mz_from,rt_from,metabolite_to,mz_to,rt_to,method
propionate--->lactate,Hydroxylation,15.994900000000001,1.4619559998152454e-05,propionate,73.0295,3.9,lactate,89.0244,3.85,HILIC-neg
propionate--->isovaleric_acid,Ethylation,28.0313,1.289200000087476e-07,propionate,73.0295,3.9,isovaleric_acid,101.0608,3.55,HILIC-neg
propionate--->alpha-ketoisovalerate,Acetylation,42.0106,3.5315979999950287e-05,propionate,73.0295,3.9,alpha-ketoisovalerate,115.0401,3.4,HILIC-neg
propionate--->succinate,Carboxylation,43.9898,2.9239119996304908e-05,propionate,73.0295,3.9,succinate,117.0193,6.9,HILIC-neg
propionate--->N-acetyl-L-alanine,Glycine conjugation,57.02149999999999,3.627894999169712e-05,propionate,73.0295,3.9,N-acetyl-L-alanine,130.051,3.9,HILIC-neg
pyruvate--->lactate,Hydrogenation,2.0156000000000063,5.0064459993670596e-05,pyruvate,87.0088,4.8,lactate,89.0244,3.85,HILIC-neg
pyruvate--->malonate,Hydroxylation,15.994900000000001,1.4619559998152454e-05,pyruvate,87.0088,4.8,malonate,103.0037,5,HILIC-neg
pyruvate--->glyceric_acid,Hydration,18.010500000000008,6.468401999271123e-05,pyruvate,87.0088,4.8,glyceric_acid,105.0193,4.1,HILIC-neg
pyruvate--->fumarate/maleate,Formylation,27.9949,1.4619559998152454e-05,pyruvate,87.0088,4.8,fumarate/maleate,115.0037,7.05,HILIC-neg
pyruvate--->alpha-ketoisovalerate,Ethylation,28.0313,1.289200000087476e-07,pyruvate,87.0088,4.8,alpha-ketoisovalerate,115.0401,3.4,HILIC-neg
pyruvate--->PEP,Phosphorylation,79.9663,3.052090998778567e-05,pyruvate,87.0088,4.8,PEP,166.9751,9.5,HILIC-neg
oxalate--->malonate,Methylation,14.015699999999995,4.993553999455003e-05,oxalate,88.988,7.4,malonate,103.0037,5,HILIC-neg
oxalate--->succinate,Ethylation,28.0313,1.289200000087476e-07,oxalate,88.988,7.4,succinate,117.0193,6.9,HILIC-neg
propionate--->lactate,Hydroxylation,15.994900000000001,1.4619559998152454e-05,propionate,73.0295,3.9,lactate,89.0244,3.85,HILIC-neg
pyruvate--->lactate,Hydrogenation,2.0156000000000063,5.0064459993670596e-05,pyruvate,87.0088,4.8,lactate,89.0244,3.85,HILIC-neg
lactate--->alpha-hydroxybutyrate/beta-hydroxybutyrate,Methylation,14.015699999999995,4.993553999455003e-05,lactate,89.0244,3.85,alpha-hydroxybutyrate/beta-hydroxybutyrate,103.0401,3.6,HILIC-neg
lactate--->glyceric_acid,Hydroxylation,15.994900000000001,1.4619559998152454e-05,lactate,89.0244,3.85,glyceric_acid,105.0193,4.1,HILIC-neg
lactate--->succinate,Formylation,27.9949,1.4619559998152454e-05,lactate,89.0244,3.85,succinate,117.0193,6.9,HILIC-neg
lactate--->malate,Carboxylation,43.98979999999999,2.9239120010515762e-05,lactate,89.0244,3.85,malate,133.0142,6.95,HILIC-neg
lactate--->glutamate_HILIC-neg,Glycine conjugation,57.02149999999999,3.627894999169712e-05,lactate,89.0244,3.85,glutamate_HILIC-neg,146.0459,5.2,HILIC-neg
lactate--->DHAP/glyceraldehyde_3P,Phosphorylation,79.9663,3.052090998778567e-05,lactate,89.0244,3.85,DHAP/glyceraldehyde_3P,168.9907,8.65,HILIC-neg
lactate--->aconitate,Malonylation,83.98479999999999,5.614132000175687e-05,lactate,89.0244,3.85,aconitate,173.0092,9.1,HILIC-neg
propionate--->isovaleric_acid,Ethylation,28.0313,1.289200000087476e-07,propionate,73.0295,3.9,isovaleric_acid,101.0608,3.55,HILIC-neg
isovaleric_acid--->alpha-keto-beta-methylvalerate/alpha-ketoisocaproate,Formylation,27.9949,1.4619559998152454e-05,isovaleric_acid,101.0608,3.55,alpha-keto-beta-methylvalerate/alpha-ketoisocaproate,129.0557,3.4,HILIC-neg
isovaleric_acid--->adipate,Carboxylation,43.9898,2.9239119996304908e-05,isovaleric_acid,101.0608,3.55,adipate,145.0506,6.8,HILIC-neg
pyruvate--->malonate,Hydroxylation,15.994900000000001,1.4619559998152454e-05,pyruvate,87.0088,4.8,malonate,103.0037,5,HILIC-neg
oxalate--->malonate,Methylation,14.015699999999995,4.993553999455003e-05,oxalate,88.988,7.4,malonate,103.0037,5,HILIC-neg
malonate--->glyceric_acid,Hydrogenation,2.0156000000000063,5.0064459993670596e-05,malonate,103.0037,5,glyceric_acid,105.0193,4.1,HILIC-neg
malonate--->succinate,Methylation,14.015600000000006,5.0064459994558774e-05,malonate,103.0037,5,succinate,117.0193,6.9,HILIC-neg
malonate--->alpha-ketoglutarate,Acetylation,42.01049999999999,6.468402000336937e-05,malonate,103.0037,5,alpha-ketoglutarate,145.0142,7.35,HILIC-neg
lactate--->alpha-hydroxybutyrate/beta-hydroxybutyrate,Methylation,14.015699999999995,4.993553999455003e-05,lactate,89.0244,3.85,alpha-hydroxybutyrate/beta-hydroxybutyrate,103.0401,3.6,HILIC-neg
alpha-hydroxybutyrate/beta-hydroxybutyrate--->2-hydroxy-3-methylpentanoic_acid,Ethylation,28.031300000000016,1.2891998579789288e-07,alpha-hydroxybutyrate/beta-hydroxybutyrate,103.0401,3.6,2-hydroxy-3-methylpentanoic_acid,131.0714,3.4,HILIC-neg
alpha-hydroxybutyrate/beta-hydroxybutyrate--->adipate,Acetylation,42.01050000000001,6.468401998915851e-05,alpha-hydroxybutyrate/beta-hydroxybutyrate,103.0401,3.6,adipate,145.0506,6.8,HILIC-neg
alpha-hydroxybutyrate/beta-hydroxybutyrate--->2-hydroxyglutarate,Carboxylation,43.9898,2.9239119996304908e-05,alpha-hydroxybutyrate/beta-hydroxybutyrate,103.0401,3.6,2-hydroxyglutarate,147.0299,7,HILIC-neg
alpha-hydroxybutyrate/beta-hydroxybutyrate--->gentisate,Glycine → Taurine,49.97919999999999,0.0034356840200047145,alpha-hydroxybutyrate/beta-hydroxybutyrate,103.0401,3.6,gentisate,153.0193,4.6,HILIC-neg
alpha-hydroxybutyrate/beta-hydroxybutyrate--->2-aminoadipate,Glycine conjugation,57.0214,6.372104999741168e-05,alpha-hydroxybutyrate/beta-hydroxybutyrate,103.0401,3.6,2-aminoadipate,160.0615,5.25,HILIC-neg
pyruvate--->glyceric_acid,Hydration,18.010500000000008,6.468401999271123e-05,pyruvate,87.0088,4.8,glyceric_acid,105.0193,4.1,HILIC-neg
lactate--->glyceric_acid,Hydroxylation,15.994900000000001,1.4619559998152454e-05,lactate,89.0244,3.85,glyceric_acid,105.0193,4.1,HILIC-neg
malonate--->glyceric_acid,Hydrogenation,2.0156000000000063,5.0064459993670596e-05,malonate,103.0037,5,glyceric_acid,105.0193,4.1,HILIC-neg
glyceric_acid--->malate,Formylation,27.994899999999987,1.4619560012363308e-05,glyceric_acid,105.0193,4.1,malate,133.0142,6.95,HILIC-neg
glyceric_acid--->2-hydroxyglutarate,Acetylation,42.0106,3.5315979999950287e-05,glyceric_acid,105.0193,4.1,2-hydroxyglutarate,147.0299,7,HILIC-neg
glyceric_acid--->2-phosphoglycerate,Phosphorylation,79.96640000000001,6.947909001553398e-05,glyceric_acid,105.0193,4.1,2-phosphoglycerate,184.9857,9.05,HILIC-neg
glyceric_acid--->3-phosphoglycerate,Phosphorylation,79.96640000000001,6.947909001553398e-05,glyceric_acid,105.0193,4.1,3-phosphoglycerate,184.9857,9.25,HILIC-neg
glyceric_acid--->inosine_HILIC-neg,Glucosylation,162.05420000000004,0.0013765799000395873,glyceric_acid,105.0193,4.1,inosine_HILIC-neg,267.0735,3.35,HILIC-neg
uracil--->thymine,Methylation,14.01570000000001,4.993554000876088e-05,uracil,111.02,1.5,thymine,125.0357,1.35,HILIC-neg
uracil--->methylcysteine,Tyr → Trp,23.0081,0.007884417470002347,uracil,111.02,1.5,methylcysteine,134.0281,3.45,HILIC-neg
pyruvate--->fumarate/maleate,Formylation,27.9949,1.4619559998152454e-05,pyruvate,87.0088,4.8,fumarate/maleate,115.0037,7.05,HILIC-neg
fumarate/maleate--->succinate,Hydrogenation,2.0156000000000063,5.0064459993670596e-05,fumarate/maleate,115.0037,7.05,succinate,117.0193,6.9,HILIC-neg
fumarate/maleate--->malate,Hydration,18.010499999999993,6.468402000692208e-05,fumarate/maleate,115.0037,7.05,malate,133.0142,6.95,HILIC-neg
propionate--->alpha-ketoisovalerate,Acetylation,42.0106,3.5315979999950287e-05,propionate,73.0295,3.9,alpha-ketoisovalerate,115.0401,3.4,HILIC-neg
pyruvate--->alpha-ketoisovalerate,Ethylation,28.0313,1.289200000087476e-07,pyruvate,87.0088,4.8,alpha-ketoisovalerate,115.0401,3.4,HILIC-neg
alpha-ketoisovalerate--->alpha-keto-beta-methylvalerate/alpha-ketoisocaproate,Methylation,14.015600000000006,5.0064459994558774e-05,alpha-ketoisovalerate,115.0401,3.4,alpha-keto-beta-methylvalerate/alpha-ketoisocaproate,129.0557,3.4,HILIC-neg
propionate--->succinate,Carboxylation,43.9898,2.9239119996304908e-05,propionate,73.0295,3.9,succinate,117.0193,6.9,HILIC-neg
oxalate--->succinate,Ethylation,28.0313,1.289200000087476e-07,oxalate,88.988,7.4,succinate,117.0193,6.9,HILIC-neg
lactate--->succinate,Formylation,27.9949,1.4619559998152454e-05,lactate,89.0244,3.85,succinate,117.0193,6.9,HILIC-neg
malonate--->succinate,Methylation,14.015600000000006,5.0064459994558774e-05,malonate,103.0037,5,succinate,117.0193,6.9,HILIC-neg
fumarate/maleate--->succinate,Hydrogenation,2.0156000000000063,5.0064459993670596e-05,fumarate/maleate,115.0037,7.05,succinate,117.0193,6.9,HILIC-neg
succinate--->malate,Hydroxylation,15.994899999999987,1.4619560012363308e-05,succinate,117.0193,6.9,malate,133.0142,6.95,HILIC-neg
succinate--->erythronic_acid,Hydration,18.010599999999997,3.531597999639757e-05,succinate,117.0193,6.9,erythronic_acid,135.0299,4.4,HILIC-neg
succinate--->hypoxanthine_HILIC-neg,Hydration,18.01190000000001,0.0013353159800111314,succinate,117.0193,6.9,hypoxanthine_HILIC-neg,135.0312,3.4,HILIC-neg
succinate--->alpha-ketoglutarate,Formylation,27.994899999999987,1.4619560012363308e-05,succinate,117.0193,6.9,alpha-ketoglutarate,145.0142,7.35,HILIC-neg
succinate--->adipate,Ethylation,28.0313,1.289200000087476e-07,succinate,117.0193,6.9,adipate,145.0506,6.8,HILIC-neg
taurine_HILIC-neg--->thymine,C=O → CHNH2,1.0283000000000015,0.0033344819300005213,taurine_HILIC-neg,124.0074,3.6,thymine,125.0357,1.35,HILIC-neg
taurine_HILIC-neg--->2-hydroxyglutarate,Tyr → Trp,23.022499999999994,0.006515582529992514,taurine_HILIC-neg,124.0074,3.6,2-hydroxyglutarate,147.0299,7,HILIC-neg
taurine_HILIC-neg--->quinolinate,Acetylation,42.0072,0.003364684019999231,taurine_HILIC-neg,124.0074,3.6,quinolinate,166.0146,7.45,HILIC-neg
uracil--->thymine,Methylation,14.01570000000001,4.993554000876088e-05,uracil,111.02,1.5,thymine,125.0357,1.35,HILIC-neg
taurine_HILIC-neg--->thymine,C=O → CHNH2,1.0283000000000015,0.0033344819300005213,taurine_HILIC-neg,124.0074,3.6,thymine,125.0357,1.35,HILIC-neg
thymine--->ascorbate,Glycine → Taurine,49.98909999999999,0.006464315979997082,thymine,125.0357,1.35,ascorbate,175.0248,8.5,HILIC-neg
isovaleric_acid--->alpha-keto-beta-methylvalerate/alpha-ketoisocaproate,Formylation,27.9949,1.4619559998152454e-05,isovaleric_acid,101.0608,3.55,alpha-keto-beta-methylvalerate/alpha-ketoisocaproate,129.0557,3.4,HILIC-neg
alpha-ketoisovalerate--->alpha-keto-beta-methylvalerate/alpha-ketoisocaproate,Methylation,14.015600000000006,5.0064459994558774e-05,alpha-ketoisovalerate,115.0401,3.4,alpha-keto-beta-methylvalerate/alpha-ketoisocaproate,129.0557,3.4,HILIC-neg
alpha-keto-beta-methylvalerate/alpha-ketoisocaproate--->2-hydroxy-3-methylpentanoic_acid,Hydrogenation,2.0157000000000096,4.993554000964906e-05,alpha-keto-beta-methylvalerate/alpha-ketoisocaproate,129.0557,3.4,2-hydroxy-3-methylpentanoic_acid,131.0714,3.4,HILIC-neg
alpha-keto-beta-methylvalerate/alpha-ketoisocaproate--->adipate,Hydroxylation,15.994900000000001,1.4619559998152454e-05,alpha-keto-beta-methylvalerate/alpha-ketoisocaproate,129.0557,3.4,adipate,145.0506,6.8,HILIC-neg
propionate--->N-acetyl-L-alanine,Glycine conjugation,57.02149999999999,3.627894999169712e-05,propionate,73.0295,3.9,N-acetyl-L-alanine,130.051,3.9,HILIC-neg
N-acetyl-L-alanine--->glutamate_HILIC-neg,Hydroxylation,15.994900000000001,1.4619559998152454e-05,N-acetyl-L-alanine,130.051,3.9,glutamate_HILIC-neg,146.0459,5.2,HILIC-neg
alpha-hydroxybutyrate/beta-hydroxybutyrate--->2-hydroxy-3-methylpentanoic_acid,Ethylation,28.031300000000016,1.2891998579789288e-07,alpha-hydroxybutyrate/beta-hydroxybutyrate,103.0401,3.6,2-hydroxy-3-methylpentanoic_acid,131.0714,3.4,HILIC-neg
alpha-keto-beta-methylvalerate/alpha-ketoisocaproate--->2-hydroxy-3-methylpentanoic_acid,Hydrogenation,2.0157000000000096,4.993554000964906e-05,alpha-keto-beta-methylvalerate/alpha-ketoisocaproate,129.0557,3.4,2-hydroxy-3-methylpentanoic_acid,131.0714,3.4,HILIC-neg
2-hydroxy-3-methylpentanoic_acid--->3-methyladipate/pimelate,Formylation,27.9949,1.4619559998152454e-05,2-hydroxy-3-methylpentanoic_acid,131.0714,3.4,3-methyladipate/pimelate,159.0663,6.75,HILIC-neg
2-hydroxy-3-methylpentanoic_acid--->suberate,Acetylation,42.01049999999998,6.468402001758022e-05,2-hydroxy-3-methylpentanoic_acid,131.0714,3.4,suberate,173.0819,6.75,HILIC-neg
2-hydroxy-3-methylpentanoic_acid--->homovanillate,Glycine → Taurine,49.97919999999999,0.0034356840200047145,2-hydroxy-3-methylpentanoic_acid,131.0714,3.4,homovanillate,181.0506,4.4,HILIC-neg
lactate--->malate,Carboxylation,43.98979999999999,2.9239120010515762e-05,lactate,89.0244,3.85,malate,133.0142,6.95,HILIC-neg
glyceric_acid--->malate,Formylation,27.994899999999987,1.4619560012363308e-05,glyceric_acid,105.0193,4.1,malate,133.0142,6.95,HILIC-neg
fumarate/maleate--->malate,Hydration,18.010499999999993,6.468402000692208e-05,fumarate/maleate,115.0037,7.05,malate,133.0142,6.95,HILIC-neg
succinate--->malate,Hydroxylation,15.994899999999987,1.4619560012363308e-05,succinate,117.0193,6.9,malate,133.0142,6.95,HILIC-neg
malate--->erythronic_acid,Hydrogenation,2.0157000000000096,4.993554000964906e-05,malate,133.0142,6.95,erythronic_acid,135.0299,4.4,HILIC-neg
malate--->hypoxanthine_HILIC-neg,Hydrogenation,2.0170000000000243,0.0013499355400243829,malate,133.0142,6.95,hypoxanthine_HILIC-neg,135.0312,3.4,HILIC-neg
malate--->2-hydroxyglutarate,Methylation,14.01570000000001,4.993554000876088e-05,malate,133.0142,6.95,2-hydroxyglutarate,147.0299,7,HILIC-neg
malate--->ascorbate,Acetylation,42.01060000000001,3.531598001416114e-05,malate,133.0142,6.95,ascorbate,175.0248,8.5,HILIC-neg
uracil--->methylcysteine,Tyr → Trp,23.0081,0.007884417470002347,uracil,111.02,1.5,methylcysteine,134.0281,3.45,HILIC-neg
methylcysteine--->quinic_acid,Glycine conjugation,57.02799999999999,0.006536278949994312,methylcysteine,134.0281,3.45,quinic_acid,191.0561,4.3,HILIC-neg
succinate--->erythronic_acid,Hydration,18.010599999999997,3.531597999639757e-05,succinate,117.0193,6.9,erythronic_acid,135.0299,4.4,HILIC-neg
malate--->erythronic_acid,Hydrogenation,2.0157000000000096,4.993554000964906e-05,malate,133.0142,6.95,erythronic_acid,135.0299,4.4,HILIC-neg
erythronic_acid--->fucose,Ethylation,28.031300000000016,1.2891998579789288e-07,erythronic_acid,135.0299,4.4,fucose,163.0612,1.4,HILIC-neg
succinate--->hypoxanthine_HILIC-neg,Hydration,18.01190000000001,0.0013353159800111314,succinate,117.0193,6.9,hypoxanthine_HILIC-neg,135.0312,3.4,HILIC-neg
malate--->hypoxanthine_HILIC-neg,Hydrogenation,2.0170000000000243,0.0013499355400243829,malate,133.0142,6.95,hypoxanthine_HILIC-neg,135.0312,3.4,HILIC-neg
hypoxanthine_HILIC-neg--->fucose,Ethylation,28.03,0.0013001289200005317,hypoxanthine_HILIC-neg,135.0312,3.4,fucose,163.0612,1.4,HILIC-neg
caprylic_acid--->azelaic_acid,Carboxylation,43.9898,2.9239119996304908e-05,caprylic_acid,143.1078,3.4,azelaic_acid,187.0976,6.95,HILIC-neg
malonate--->alpha-ketoglutarate,Acetylation,42.01049999999999,6.468402000336937e-05,malonate,103.0037,5,alpha-ketoglutarate,145.0142,7.35,HILIC-neg
succinate--->alpha-ketoglutarate,Formylation,27.994899999999987,1.4619560012363308e-05,succinate,117.0193,6.9,alpha-ketoglutarate,145.0142,7.35,HILIC-neg
alpha-ketoglutarate--->glutamate_HILIC-neg,C=O → CHNH2,1.0317000000000007,6.551806999866017e-05,alpha-ketoglutarate,145.0142,7.35,glutamate_HILIC-neg,146.0459,5.2,HILIC-neg
alpha-ketoglutarate--->2-hydroxyglutarate,Hydrogenation,2.0157000000000096,4.993554000964906e-05,alpha-ketoglutarate,145.0142,7.35,2-hydroxyglutarate,147.0299,7,HILIC-neg
