transformation,closest_reaction,delta_mz_observed,delta_mz_error,metabolite_from,mz_from,rt_from,metabolite_to,mz_to,rt_to,method
C8-pos_185--->C8-pos_33,Methylation,14.007600000000025,0.008050064459975914,C8-pos_185,200.1726,4.47,C8-pos_33,214.1802,3.55,C8-pos
C8-pos_185--->C8-pos_51,Ethylation,28.023200000000003,0.008100128919998895,C8-pos_185,200.1726,4.47,C8-pos_51,228.1958,3.71,C8-pos
C8-pos_155--->C8-pos_39,Hydroxylation,15.995299999999986,0.00038538043998670446,C8-pos_155,200.2007,4.24,C8-pos_39,216.196,3.58,C8-pos
C8-pos_155--->C8-pos_51,Formylation,27.99509999999998,0.00018538043998006515,C8-pos_155,200.2007,4.24,C8-pos_51,228.1958,3.71,C8-pos
C8-pos_155--->C8-pos_46,Carboxylation,43.98989999999998,7.076087997859304e-05,C8-pos_155,200.2007,4.24,C8-pos_46,244.1906,3.68,C8-pos
C8-pos_155--->C8-pos_1559,Glycine → Taurine,49.9768,0.005835684019999121,C8-pos_155,200.2007,4.24,C8-pos_1559,250.1775,12.23,C8-pos
C8-pos_155--->C8-pos_1865,Glycine → Taurine,49.9769,0.0057356840199958015,C8-pos_155,200.2007,4.24,C8-pos_1865,250.1776,13.72,C8-pos
C8-pos_155--->C8-pos_1109,Glycine → Taurine,49.976999999999975,0.0056356840200209035,C8-pos_155,200.2007,4.24,C8-pos_1109,250.1777,10.74,C8-pos
C8-pos_155--->C8-pos_101,Phosphorylation,79.97470000000001,0.00836947909002106,C8-pos_155,200.2007,4.24,C8-pos_101,280.1754,3.93,C8-pos
C8-pos_113--->C8-pos_39,Hydroxylation,15.995200000000011,0.0002853804400118065,C8-pos_113,200.2008,4.01,C8-pos_39,216.196,3.58,C8-pos
C8-pos_113--->C8-pos_51,Formylation,27.995000000000005,8.53804400051672e-05,C8-pos_113,200.2008,4.01,C8-pos_51,228.1958,3.71,C8-pos
C8-pos_113--->C8-pos_46,Carboxylation,43.9898,2.9239119996304908e-05,C8-pos_113,200.2008,4.01,C8-pos_46,244.1906,3.68,C8-pos
C8-pos_113--->C8-pos_1559,Glycine → Taurine,49.97670000000002,0.005935684019974019,C8-pos_113,200.2008,4.01,C8-pos_1559,250.1775,12.23,C8-pos
C8-pos_113--->C8-pos_1865,Glycine → Taurine,49.976800000000026,0.005835684019970699,C8-pos_113,200.2008,4.01,C8-pos_1865,250.1776,13.72,C8-pos
C8-pos_113--->C8-pos_1109,Glycine → Taurine,49.9769,0.0057356840199958015,C8-pos_113,200.2008,4.01,C8-pos_1109,250.1777,10.74,C8-pos
C8-pos_113--->C8-pos_101,Phosphorylation,79.97460000000004,0.008269479090046161,C8-pos_113,200.2008,4.01,C8-pos_101,280.1754,3.93,C8-pos
C8-pos_150--->C8-pos_145,Hydration,18.010699999999986,0.00013531597998550637,C8-pos_150,205.086,4.19,C8-pos_145,223.0967,4.18,C8-pos
C8-pos_56--->C8-pos_84,COOH → CONH2,-0.9841999999999871,0.00018441746998831832,C8-pos_56,211.1693,3.71,C8-pos_84,210.1851,3.85,C8-pos
C8-pos_84--->C8-pos_51,Hydration,18.010699999999986,0.00013531597998550637,C8-pos_84,210.1851,3.85,C8-pos_51,228.1958,3.71,C8-pos
C8-pos_84--->C8-pos_38,Formylation,27.99259999999998,0.002314619560017661,C8-pos_84,210.1851,3.85,C8-pos_38,238.1777,3.58,C8-pos
C8-pos_56--->C8-pos_84,COOH → CONH2,-0.9841999999999871,0.00018441746998831832,C8-pos_56,211.1693,3.71,C8-pos_84,210.1851,3.85,C8-pos
C8-pos_56--->C8-pos_51,Amination,17.0265,4.910149000281194e-05,C8-pos_56,211.1693,3.71,C8-pos_51,228.1958,3.71,C8-pos
C8-pos_56--->C8-pos_1559,Phe → Trp,39.008200000000016,0.002699037029984197,C8-pos_56,211.1693,3.71,C8-pos_1559,250.1775,12.23,C8-pos
C8-pos_56--->C8-pos_1865,Phe → Trp,39.00830000000002,0.0025990370299808774,C8-pos_56,211.1693,3.71,C8-pos_1865,250.1776,13.72,C8-pos
C8-pos_56--->C8-pos_1109,Phe → Trp,39.008399999999995,0.0024990370300059794,C8-pos_56,211.1693,3.71,C8-pos_1109,250.1777,10.74,C8-pos
C8-pos_56--->C8-pos_24,Acetylation,42.00630000000001,0.0042646840199864755,C8-pos_56,211.1693,3.71,C8-pos_24,253.1756,3.07,C8-pos
C8-pos_56--->C8-pos_99,Acetylation,42.010700000000014,0.0001353159800174808,C8-pos_56,211.1693,3.71,C8-pos_99,253.18,3.93,C8-pos
C8-pos_56--->C8-pos_34,Glycine conjugation,57.01880000000003,0.002663721049970036,C8-pos_56,211.1693,3.71,C8-pos_34,268.1881,3.55,C8-pos
C8-pos_185--->C8-pos_33,Methylation,14.007600000000025,0.008050064459975914,C8-pos_185,200.1726,4.47,C8-pos_33,214.1802,3.55,C8-pos
C8-pos_33--->C8-pos_39,Hydrogenation,2.0157999999999845,0.000149935539984547,C8-pos_33,214.1802,3.55,C8-pos_39,216.196,3.58,C8-pos
C8-pos_33--->C8-pos_51,Methylation,14.015599999999978,5.0064460022980484e-05,C8-pos_33,214.1802,3.55,C8-pos_51,228.1958,3.71,C8-pos
C8-pos_102--->C8-pos_103,Hydroxylation,15.995199999999983,0.0002853804399833848,C8-pos_102,214.2527,3.93,C8-pos_103,230.2479,3.94,C8-pos
C8-pos_102--->C8-pos_142,Ethylation,28.03139999999999,9.987107998910005e-05,C8-pos_102,214.2527,3.93,C8-pos_142,242.2841,4.17,C8-pos
C8-pos_102--->C8-pos_304,Glucosylation,162.0448,0.008023420099988243,C8-pos_102,214.2527,3.93,C8-pos_304,376.2975,6.73,C8-pos
C8-pos_1931--->C8-pos_1850,Taurine conjugation,107.0075,0.0034005949299853455,C8-pos_1931,216.0937,14.17,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1930--->C8-pos_1850,Taurine conjugation,107.00730000000001,0.003200594930007128,C8-pos_1930,216.0939,14.14,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1779--->C8-pos_1850,Taurine conjugation,107.00650000000002,0.0024005949300089924,C8-pos_1779,216.0947,13.02,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1212--->C8-pos_1850,Taurine conjugation,107.00640000000001,0.0023005949300056727,C8-pos_1212,216.0948,11.35,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1782--->C8-pos_1850,Taurine conjugation,107.00640000000001,0.0023005949300056727,C8-pos_1782,216.0948,13.07,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1828--->C8-pos_1850,Taurine conjugation,107.0059,0.0018005949299890744,C8-pos_1828,216.0953,13.51,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1269--->C8-pos_1850,Taurine conjugation,107.00570000000002,0.0016005949300108568,C8-pos_1269,216.0955,11.54,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1791--->C8-pos_1850,Taurine conjugation,107.00560000000002,0.0015005949300075372,C8-pos_1791,216.0956,13.14,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1702--->C8-pos_1850,Taurine conjugation,107.00550000000001,0.0014005949300042175,C8-pos_1702,216.0957,12.61,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1910--->C8-pos_1850,Taurine conjugation,107.0053,0.0012005949299975782,C8-pos_1910,216.0959,13.86,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1735--->C8-pos_1850,Taurine conjugation,107.0053,0.0012005949299975782,C8-pos_1735,216.0959,12.72,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1841--->C8-pos_1850,Taurine conjugation,107.0052,0.0011005949299942586,C8-pos_1841,216.096,13.64,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1834--->C8-pos_1850,Taurine conjugation,107.0052,0.0011005949299942586,C8-pos_1834,216.096,13.58,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1856--->C8-pos_1850,Taurine conjugation,107.0051,0.001000594929990939,C8-pos_1856,216.0961,13.67,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1801--->C8-pos_1850,Taurine conjugation,107.0051,0.001000594929990939,C8-pos_1801,216.0961,13.24,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1817--->C8-pos_1850,Taurine conjugation,107.0051,0.001000594929990939,C8-pos_1817,216.0961,13.43,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1915--->C8-pos_1850,Taurine conjugation,107.0051,0.001000594929990939,C8-pos_1915,216.0961,13.93,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1905--->C8-pos_1850,Taurine conjugation,107.005,0.0009005949299876193,C8-pos_1905,216.0962,13.82,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1919--->C8-pos_1850,Taurine conjugation,107.005,0.0009005949299876193,C8-pos_1919,216.0962,13.97,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1912--->C8-pos_1850,Taurine conjugation,107.005,0.0009005949299876193,C8-pos_1912,216.0962,13.89,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_1821--->C8-pos_1850,Taurine conjugation,107.00489999999999,0.0008005949299842996,C8-pos_1821,216.0963,13.47,C8-pos_1850,323.1012,13.66,C8-pos
C8-pos_155--->C8-pos_39,Hydroxylation,15.995299999999986,0.00038538043998670446,C8-pos_155,200.2007,4.24,C8-pos_39,216.196,3.58,C8-pos
C8-pos_113--->C8-pos_39,Hydroxylation,15.995200000000011,0.0002853804400118065,C8-pos_113,200.2008,4.01,C8-pos_39,216.196,3.58,C8-pos
C8-pos_33--->C8-pos_39,Hydrogenation,2.0157999999999845,0.000149935539984547,C8-pos_33,214.1802,3.55,C8-pos_39,216.196,3.58,C8-pos
C8-pos_39--->C8-pos_46,Formylation,27.99459999999999,0.0003146195600081114,C8-pos_39,216.196,3.58,C8-pos_46,244.1906,3.68,C8-pos
C8-pos_68--->C8-pos_1855,C=O → CHNH2,1.0290999999999997,0.0025344819300023858,C8-pos_68,219.138,3.78,C8-pos_1855,220.1671,13.67,C8-pos
C8-pos_68--->C8-pos_138,Hydrogenation,2.015500000000003,0.00015006445999699025,C8-pos_68,219.138,3.78,C8-pos_138,221.1535,4.1,C8-pos
C8-pos_68--->C8-pos_42,Hydroxylation,15.995199999999983,0.0002853804399833848,C8-pos_68,219.138,3.78,C8-pos_42,235.1332,3.62,C8-pos
C8-pos_68--->C8-pos_32,Amination,17.024399999999986,0.0021491014900156813,C8-pos_68,219.138,3.78,C8-pos_32,236.1624,3.54,C8-pos
C8-pos_1855--->C8-pos_158,COOH → CONH2,-0.992999999999995,0.008984417469996231,C8-pos_1855,220.1671,13.67,C8-pos_158,219.1741,4.27,C8-pos
C8-pos_158--->C8-pos_136,Hydroxylation,15.99509999999998,0.00018538043998006515,C8-pos_158,219.1741,4.27,C8-pos_136,235.1692,4.1,C8-pos
C8-pos_158--->C8-pos_110,Hydration,18.010999999999996,0.00043531597999546534,C8-pos_158,219.1741,4.27,C8-pos_110,237.1851,3.97,C8-pos
C8-pos_158--->C8-pos_70,Glycine conjugation,57.02159999999998,0.00013627894998080592,C8-pos_158,219.1741,4.27,C8-pos_70,276.1957,3.79,C8-pos
