"Compound.Name...MW..to..","standard.RT","calculated.RT","X..error","logD..3.5.","neg..3.5.","pos..3.5.","ROTATABLE.BONDS","Phosphates","HBD.MW","logk..exptl.","logk..calc."
"C02835",17.98,10.8,"-40%",-1.4,0.4,0.999499064,2,0,0.016,1.1,0.34
"C00140",12.09,12.55,"4%",-3.2,0,5.06318e-05,2,0,0.023,0.52,0.58
"C01598",5.71,6.16,"8%",1.2,0,3.98141e-05,4,0,0.009,-1.31,-1
"C02304",5.94,9.86,"66%",-0.5,0,0.984398338,1,0,0.019,-1.14,0.18
"C00568",6.02,7.09,"18%",0.7,0,0.136806889,1,0,0.015,-1.09,-0.55
"C00253",7.93,8.58,"8%",-0.2,0.8,0.833662469,1,0,0.008,-0.27,-0.1
"C00116",10.12,9.79,"-3%",-1.8,0,7.58348e-07,2,0,0.033,0.22,0.16
"C00294",10.56,10.76,"2%",-2.5,0,0.000100725,2,0,0.015,0.3,0.33
"C00079",13.21,9.96,"-25%",-1.4,0.9,0.999998741,3,0,0.012,0.66,0.19
"C00123",13.88,10.86,"-22%",-1.8,0.8,0.999999,3,0,0.015,0.73,0.35
"C00078",14.19,9.84,"-31%",-1.3,0.9,0.999998741,3,0,0.015,0.77,0.17
"C00073",14.83,11.49,"-23%",-2.4,0.9,0.999999,4,0,0.013,0.83,0.44
"C00242",15.64,8.55,"-45%",-0.6,0,0.001992293,0,0,0.02,0.91,-0.11
"C00314",16.71,13.46,"-19%",-2.3,0,0.992119951,2,0,0.018,1,0.69
"C00183",15.9,12.22,"-23%",-2.1,0.9,0.999999206,2,0,0.017,0.93,0.54
"C00147",16.68,14.4,"-14%",-2.2,0,0.98441093,0,0,0.015,1,0.79
"C00148",16.46,14.39,"-13%",-2.7,1,0.999999984,1,0,0.017,0.98,0.79
"C00245",16.58,14.02,"-15%",-2.9,1,0.999998415,2,0,0.016,0.99,0.75
"C01157",17.31,18.93,"9%",-3.9,1,1.000000319,1,0,0.023,1.05,1.17
"C00791",19.1,10.65,"-44%",-1.6,0,0.284753558,0,0,0.009,1.18,0.31
"C12989",19.44,15.08,"-22%",-3.9,0.3,1.000019753,6,0,0.016,1.2,0.85
"C00188",18.43,16.96,"-8%",-3.6,1,0.999997236,2,0,0.025,1.13,1.02
"C00049",18.38,15.97,"-13%",-3.6,1,0.999999206,3,0,0.023,1.13,0.94
"C00064",19.02,17,"-11%",-4.2,1,1.000030037,4,0,0.021,1.17,1.02
"C00152",19.47,19.33,"-1%",-4.4,1,0.999988205,3,0,0.023,1.2,1.19
"C00362",16.39,14.46,"-12%",-3.9,1,0.015602181,4,1,0.014,0.97,0.79
"C00065",19.62,18.83,"-4%",-4,1,0.999996417,2,0,0.029,1.21,1.16
"C00327",20.01,15.91,"-20%",-4.1,0.9,1.000004314,5,0,0.023,1.24,0.93
"C00475",21.2,11.45,"-46%",-2.8,0,0.00199172,2,0,0.016,1.31,0.43
"C00346",19.7,15.81,"-20%",-2.8,1,0.999949884,3,1,0.021,1.22,0.92
"C00037",19.62,17.83,"-9%",-3.6,0.9,0.999998005,1,0,0.027,1.21,1.09
