compoundId	compoundName	p.1	p.2	p.3	p.4	p.5	p.combined
StdMix1_1	Spermidine	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_2	Imidazole-4-acetate	1.0	1.0	1.0	1.0	0.895	0.979
StdMix1_3	N-Acetyl-D-glucosamine	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_4	1-Naphthylacetic acid	0.0	0.0	0.0	0.0	0.0	0.0
StdMix1_5	Melatonin	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_6	Phenylhydrazine	0.095	0.01	0.0	0.0	0.0	0.021
StdMix1_7	4-Aminobenzoate	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_8	Nicotinate	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_9	riboflavin	1.0	1.0	1.0	1.0	0.195	0.839
StdMix1_10	Glycerol	0.855	0.855	0.77	0.765	0.41	0.731
StdMix1_11	Inosine	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_12	L-Phenylalanine	1.0	1.0	1.0	1.0	0.985	0.997
StdMix1_13	L-Leucine	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_14	L-Tryptophan	1.0	1.0	1.0	1.0	0.26	0.852
StdMix1_15	2-Phenylglycine	1.0	1.0	1.0	1.0	0.95	0.99
StdMix1_16	Selenomethionine	0.75	0.75	0.75	0.0	0.0	0.45
StdMix1_17	L-Methionine	0.005	0.005	0.005	0.0	0.0	0.003
StdMix1_18	Guanine	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_19	Pyridoxine	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_20	L-Valine	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_21	Adenine	1.0	1.0	1.0	1.0	0.0	0.8
StdMix1_22	L-Proline	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_23	Serotonin	1.0	1.0	1.0	0.995	0.0	0.799
StdMix1_24	Taurine	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_25	trans-4-Hydroxy-L-proline	0.59	0.59	0.59	0.59	0.005	0.473
StdMix1_26	Creatinine	1.0	1.0	1.0	1.0	1.0	1.0
StdMix1_27	N2-Acetyl-L-lysine	1.0	1.0	1.0	1.0	1.0	1.0
