id	mass	RT	rep1	rep2	rep3	filteredIdentification
1	100.11201404698153	822.3299967447916	4.0955968E7	3.3854648E7	2.2070112E7	12205548, 1,1,1-trideuteriobutane, M+ACN+H, [12C]6[1H]14[14N]1, 1.00000
2	102.03385155545726	2111.4566243489585	2.7653774E7	2.5072482E7	1.9983478E7	junk, 1.00000
3	102.03383163103427	2114.8701171875		2.4310544E7		junk, 0.75500; junk, 0.24500
4	102.03383066039599	2142.7099609375		1.8115624E7		junk, 1.00000
5	102.0338307375011	2142.7099609375		1.8115624E7		junk, 1.00000
6	102.03385508794861	2183.0400390625	1.6411196E7		1.2539385E7	junk, 1.00000
7	102.03384673497222	2200.4600423177085	1.5762003E7	1.0445188E7	1.157758E7	junk, 1.00000
8	298.0968623801253	588.8873291015625	1.459453E7	4685364.5	5089331.5	149, 2-(6-aminopurin-9-yl)-5-(methylsulfanylmethyl)oxolane-3,4-diol, M+H, [12C]11[1H]16[14N]5[16O]3[32S]1, 1.00000
9	102.03384546874706	2213.78662109375	1.4324863E7	9277357.0	1.0331658E7	junk, 1.00000
10	166.0862171266095	748.4439900716146	1.4120136E7	1.0890863E7	7916746.0	StdMix1_12, L-Phenylalanine, M+H, [12C]9[1H]12[14N]1[16O]2, 1.00000
11	94.04512338463023	2055.433308919271	1.3244019E7	1.2384592E7	9769783.0	
12	94.04512896175555	2058.0750122070312	1.3064886E7		9498044.0	
13	102.03384372256437	2252.8699544270835	1.2135162E7	7757921.0	8035042.5	junk, 1.00000
14	110.02001185053503	2035.106689453125	1.19804E7	6070341.0	2338989.25	
15	102.03384315600357	2265.4033203125	1.119823E7	7128892.5	8035042.5	junk, 1.00000
16	114.06617667141109	1039.4166870117188	1.0997532E7	8503391.0	5824748.0	StdMix1_26, Creatinine, M+H, [12C]4[1H]8[14N]3[16O]1, 1.00000
17	102.03384355332503	2279.4366048177085	1.0832991E7	6548658.0	7312661.5	junk, 1.00000
18	167.01276326719878	2113.3099772135415	1.0666063E7	9277172.0	7746964.5	
19	122.5470906260601	2113.2732747395835	9078407.0	1.041577E7	6547574.5	junk, 1.00000
20	102.0338416398854	2330.603271484375	9378655.0	5502124.5	6029128.5	junk, 1.00000
21	170.08105210187662	942.3519897460938	9363905.0	5595895.5	1699790.25	StdMix1_7, 4-Aminobenzoate, M+CH3OH+H, [12C]8[1H]12[14N]1[16O]3, 0.36500; StdMix1_98, 3-Hydroxyphenylacetate, M+NH4, [12C]8[1H]12[14N]1[16O]3, 0.35000; StdMix1_19, Pyridoxine, M+H, [12C]8[1H]12[14N]1[16O]3, 0.28500
22	167.01270565582567	2114.8701171875		8975675.0		
23	102.03384036143838	2358.5399576822915	8905995.0	4940076.0	5227854.0	junk, 1.00000
24	202.14367779684326	870.8159993489584	8884426.0	129814.1953125	4840945.5	
25	132.1018556565406	785.6620076497396	6561318.0	8709418.0	3578135.5	StdMix1_13, L-Leucine, M+H, [12C]6[1H]14[14N]1[16O]2, 1.00000
26	116.07057118345149	940.8619995117188	8627683.0	3878283.0	3641553.5	StdMix1_22, L-Proline, M+H, [12C]5[1H]10[14N]1[16O]2, 1.00000
27	116.07060075347273	930.0239868164062	8627683.0			StdMix1_22, L-Proline, M+H, [12C]5[1H]10[14N]1[16O]2, 0.85000; 8, 2,3-dihydroxy-3-methylpentanoic acid, M+2ACN+2H, [12C]10[1H]20[14N]2[16O]4, 0.15000
28	122.54711113822027	2129.409912109375	8523566.0		6326498.0	junk, 1.00000
29	102.03383076738578	2242.389892578125		8437904.0		junk, 0.92000; junk, 0.08000
30	137.04574920687324	612.8459879557291	8305846.5	2069238.5	3834337.25	
31	102.03384117823293	2369.8766276041665	8144253.0	4940076.0	4905360.0	junk, 1.00000
32	122.54710481409222	2145.050048828125	7716148.0		5156650.5	junk, 1.00000
33	265.1117472342798	1804.8033447265625	6951047.5	7655857.5	3556940.5	StdMix1_47, Thiamin, M+H, [12C]12[1H]17[14N]4[16O]1[32S]1, 1.00000
34	269.0879805041073	613.8119913736979	7601657.0	3185594.0	3442637.25	StdMix1_11, Inosine, M+H, [12C]10[1H]13[14N]4[16O]5, 1.00000
35	233.12842706257558	333.8753356933594	7511820.0	5221381.5	4606176.0	StdMix1_5, Melatonin, M+H, [12C]13[1H]17[14N]2[16O]2, 1.00000
36	133.05947620374127	1806.239990234375	7511134.0	2872144.0	2472289.75	StdMix1_47, Thiamin, M+2H, [12C]12[1H]18[14N]4[16O]1[32S]1, 1.00000
37	102.03384169195931	2400.6400553385415	7499921.5	4448197.5	4513984.0	junk, 1.00000
38	167.0127597023181	2152.8365885416665	7434468.5	5847105.0	6748999.5	
39	102.03384163017283	2410.0033365885415	7378798.0	4448197.5	4306586.0	junk, 1.00000
40	122.5471067614469	2141.199951171875	7244846.0		6326498.0	junk, 0.99500; junk, 0.00500
41	268.11786147391155	700.3860066731771	7197183.0	3966.048095703125	1861580.0	junk, 1.00000
42	102.03383919227208	2425.1366373697915	7128765.5	3699720.75	4458292.5	junk, 0.99500; junk, 0.00500
43	170.08111032541507	938.031005859375	7002089.5		637192.625	StdMix1_98, 3-Hydroxyphenylacetate, M+NH4, [12C]8[1H]12[14N]1[16O]3, 0.35500; StdMix1_19, Pyridoxine, M+H, [12C]8[1H]12[14N]1[16O]3, 0.33000; StdMix1_7, 4-Aminobenzoate, M+CH3OH+H, [12C]8[1H]12[14N]1[16O]3, 0.30000; junk, 0.01500
44	205.09706739371236	791.5060017903646	2629572.5	6778014.5	1314508.125	StdMix1_14, L-Tryptophan, M+H, [12C]11[1H]13[14N]2[16O]2, 1.00000
45	309.1842209091712	823.72998046875	6644846.5	4874681.5	3922009.25	junk, 0.99500; junk, 0.00500
46	136.06176400906904	901.2579956054688	3293931.0	6633999.5	3730082.25	StdMix1_21, Adenine, M+H, [12C]5[1H]6[14N]5, 1.00000
