Metabolite_from,Metabolite_to,Weight
C14:0_LPC_C8-pos,C14:0_LPC_C8-pos,0.0
C16:1_LPC_C8-pos,C14:0_LPC_C8-pos,0.0
C16:0_LPC,C14:0_LPC_C8-pos,0.9997998710799791
C18:2_LPC_C8-pos,C14:0_LPC_C8-pos,0.0
C18:1_LPC_C8-pos,C14:0_LPC_C8-pos,0.0
C18:0_LPC_C8-pos,C14:0_LPC_C8-pos,0.041136278950034466
C20:5_LPC,C14:0_LPC_C8-pos,0.0
C20:4_LPC_C8-pos,C14:0_LPC_C8-pos,0.0
C20:3_LPC,C14:0_LPC_C8-pos,0.9696356840200195
C22:6_LPC_C8-pos,C14:0_LPC_C8-pos,0.0
C16:0_LPE_C8-pos,C14:0_LPC_C8-pos,0.0
C18:2_LPE_C8-pos,C14:0_LPC_C8-pos,0.0
C18:1_LPE_C8-pos,C14:0_LPC_C8-pos,0.0
C18:0_LPE,C14:0_LPC_C8-pos,0.9999500644600197
C20:4_LPE_C8-pos,C14:0_LPC_C8-pos,0.0
C20:0_LPE,C14:0_LPC_C8-pos,0.963564684020028
C22:6_LPE_C8-pos,C14:0_LPC_C8-pos,0.03756372104999173
C22:0_LPE,C14:0_LPC_C8-pos,0.0
C30:1_PC,C14:0_LPC_C8-pos,0.0
C30:0_PC,C14:0_LPC_C8-pos,0.0
C32:2_PC,C14:0_LPC_C8-pos,0.0
C32:1_PC,C14:0_LPC_C8-pos,0.0
C32:0_PC,C14:0_LPC_C8-pos,0.0
C34:4_PC,C14:0_LPC_C8-pos,0.0
C34:3_PC,C14:0_LPC_C8-pos,0.0
C34:2_PC,C14:0_LPC_C8-pos,0.0
C34:1_PC,C14:0_LPC_C8-pos,0.0
C34:0_PC,C14:0_LPC_C8-pos,0.0
C36:4_PC-A,C14:0_LPC_C8-pos,0.0
C36:4_PC-B,C14:0_LPC_C8-pos,0.0
C36:3_PC,C14:0_LPC_C8-pos,0.0
C36:2_PC,C14:0_LPC_C8-pos,0.0
C36:1_PC,C14:0_LPC_C8-pos,0.0
C36:0_PC,C14:0_LPC_C8-pos,0.0
C38:6_PC,C14:0_LPC_C8-pos,0.0
C38:4_PC,C14:0_LPC_C8-pos,0.0
C38:3_PC,C14:0_LPC_C8-pos,0.0
C38:2_PC,C14:0_LPC_C8-pos,0.0
C40:10_PC,C14:0_LPC_C8-pos,0.0
C40:9_PC,C14:0_LPC_C8-pos,0.0
C40:6_PC,C14:0_LPC_C8-pos,0.0
C34:5_PC_plasmalogen,C14:0_LPC_C8-pos,0.0
C34:4_PC_plasmalogen,C14:0_LPC_C8-pos,0.0
C34:3_PC_plasmalogen,C14:0_LPC_C8-pos,0.0
C34:2_PC_plasmalogen,C14:0_LPC_C8-pos,0.0
C34:1_PC_plasmalogen-A,C14:0_LPC_C8-pos,0.0
C34:1_PC_plasmalogen-B,C14:0_LPC_C8-pos,0.0
C36:5_PC_plasmalogen-A,C14:0_LPC_C8-pos,0.0
C36:5_PC_plasmalogen-B,C14:0_LPC_C8-pos,0.0
C36:4_PC_plasmalogen,C14:0_LPC_C8-pos,0.0
C36:3_PC_plasmalogen,C14:0_LPC_C8-pos,0.0
C36:2_PC_plasmalogen,C14:0_LPC_C8-pos,0.0
C36:1_PC_plasmalogen,C14:0_LPC_C8-pos,0.0
C38:7_PC_plasmalogen,C14:0_LPC_C8-pos,0.0
C38:6_PC_plasmalogen,C14:0_LPC_C8-pos,0.0
C38:4_PC_plasmalogen,C14:0_LPC_C8-pos,0.0
C40:7_PC_plasmalogen,C14:0_LPC_C8-pos,0.0
C32:0_PE,C14:0_LPC_C8-pos,0.0
C34:2_PE,C14:0_LPC_C8-pos,0.0
C34:0_PE,C14:0_LPC_C8-pos,0.0
C36:4_PE,C14:0_LPC_C8-pos,0.0
C36:3_PE,C14:0_LPC_C8-pos,0.0
C36:2_PE,C14:0_LPC_C8-pos,0.0
C36:1_PE,C14:0_LPC_C8-pos,0.0
C36:0_PE,C14:0_LPC_C8-pos,0.0
C38:6_PE,C14:0_LPC_C8-pos,0.0
C38:5_PE,C14:0_LPC_C8-pos,0.0
C38:4_PE,C14:0_LPC_C8-pos,0.0
C38:2_PE,C14:0_LPC_C8-pos,0.0
C40:6_PE,C14:0_LPC_C8-pos,0.0
C34:3_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C34:2_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C36:5_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C36:4_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C36:3_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C36:2_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C36:1_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C38:7_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C38:6_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C38:5_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C38:3_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C40:7_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C42:11_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C44:13_PE_plasmalogen,C14:0_LPC_C8-pos,0.0
C34:2_PI,C14:0_LPC_C8-pos,0.0
C34:0_PI,C14:0_LPC_C8-pos,0.0
C36:2_PI,C14:0_LPC_C8-pos,0.0
C38:4_PI,C14:0_LPC_C8-pos,0.0
C34:0_PS,C14:0_LPC_C8-pos,0.0
C38:6_PS,C14:0_LPC_C8-pos,0.0
C40:6_PS,C14:0_LPC_C8-pos,0.0
C36:3_PS_plasmalogen,C14:0_LPC_C8-pos,0.0
C36:2_PS_plasmalogen,C14:0_LPC_C8-pos,0.0
C36:1_PS_plasmalogen,C14:0_LPC_C8-pos,0.0
sphingosine_C8-pos,C14:0_LPC_C8-pos,0.0
C16:0_Ceramide_(d18:1),C14:0_LPC_C8-pos,0.0
C22:0_Ceramide_(d18:1),C14:0_LPC_C8-pos,0.0
C24:0_Ceramide_(d18:1),C14:0_LPC_C8-pos,0.0
C24:1_Ceramide_(d18:1),C14:0_LPC_C8-pos,0.0
C14:0_SM_C8-pos,C14:0_LPC_C8-pos,0.0
C16:1_SM,C14:0_LPC_C8-pos,0.0
C16:0_SM_C8-pos,C14:0_LPC_C8-pos,0.0
C18:2_SM_C8-pos,C14:0_LPC_C8-pos,0.0
