Metabolite_from,Metabolite_to,Weight
C16:0_LPC,C14:0_LPC_C8-pos,0.9997998710799791
C18:0_LPC_C8-pos,C14:0_LPC_C8-pos,0.041136278950034466
C20:3_LPC,C14:0_LPC_C8-pos,0.9696356840200195
C18:0_LPE,C14:0_LPC_C8-pos,0.9999500644600197
C20:0_LPE,C14:0_LPC_C8-pos,0.963564684020028
C22:6_LPE_C8-pos,C14:0_LPC_C8-pos,0.03756372104999173
C36:2_DAG,C14:0_LPC_C8-pos,0.1863120247999177
C8-pos_cmp.QI2020,C14:0_LPC_C8-pos,0.004615582530000495
C8-pos_cmp.QI2021,C14:0_LPC_C8-pos,0.08571558252999267
C8-pos_cmp.QI2022,C14:0_LPC_C8-pos,0.5224155825299661
C8-pos_cmp.QI2023,C14:0_LPC_C8-pos,0.08068441747001742
C8-pos_cmp.QI2024,C14:0_LPC_C8-pos,0.015984417470001233
C8-pos_cmp.QI2028,C14:0_LPC_C8-pos,0.4096655180700104
C8-pos_cmp.QI2029,C14:0_LPC_C8-pos,0.5038655180700111
C8-pos_cmp.QI2031,C14:0_LPC_C8-pos,0.9114655180700133
C8-pos_cmp.QI2033,C14:0_LPC_C8-pos,0.004649935539963401
C8-pos_cmp.QI2038,C14:0_LPC_C8-pos,0.04014993553997659
C8-pos_cmp.QI2039,C14:0_LPC_C8-pos,0.040649935539964765
C8-pos_cmp.QI2040,C14:0_LPC_C8-pos,0.040649935539964765
C8-pos_cmp.QI2041,C14:0_LPC_C8-pos,0.04074993553999651
C8-pos_cmp.QI2043,C14:0_LPC_C8-pos,0.43354993553996213
C8-pos_cmp.QI2046,C14:0_LPC_C8-pos,0.9676499355399857
C8-pos_cmp.QI2048,C14:0_LPC_C8-pos,0.558750064460038
C8-pos_cmp.QI2049,C14:0_LPC_C8-pos,0.5306500644599863
C8-pos_cmp.QI2050,C14:0_LPC_C8-pos,0.48305006445999776
C8-pos_cmp.QI2053,C14:0_LPC_C8-pos,0.12355006446002914
C8-pos_cmp.QI2109,C14:0_LPC_C8-pos,0.4332499355399797
C8-pos_cmp.QI2112,C14:0_LPC_C8-pos,0.9351499355400144
C8-pos_cmp.QI2113,C14:0_LPC_C8-pos,0.9999499355400054
C8-pos_cmp.QI2114,C14:0_LPC_C8-pos,0.9998500644599879
C8-pos_cmp.QI2115,C14:0_LPC_C8-pos,0.9634500644600301
C8-pos_cmp.QI2117,C14:0_LPC_C8-pos,0.919150064460009
C8-pos_cmp.QI2121,C14:0_LPC_C8-pos,0.5588500644600138
C8-pos_cmp.QI2122,C14:0_LPC_C8-pos,0.4687500644600071
C8-pos_cmp.QI2123,C14:0_LPC_C8-pos,0.4686500644600322
C8-pos_cmp.QI2124,C14:0_LPC_C8-pos,0.4686500644600322
C8-pos_cmp.QI2125,C14:0_LPC_C8-pos,0.4686500644600322
C8-pos_cmp.QI2126,C14:0_LPC_C8-pos,0.46855006446000047
C8-pos_cmp.QI2127,C14:0_LPC_C8-pos,0.4684500644600256
C8-pos_cmp.QI2128,C14:0_LPC_C8-pos,0.4684500644600256
C8-pos_cmp.QI2131,C14:0_LPC_C8-pos,0.05715006445998583
C8-pos_cmp.QI2133,C14:0_LPC_C8-pos,0.024650064460015386
C8-pos_cmp.QI2135,C14:0_LPC_C8-pos,0.07318538044001599
C8-pos_cmp.QI2136,C14:0_LPC_C8-pos,0.07738538043998489
C8-pos_cmp.QI2140,C14:0_LPC_C8-pos,0.46988538043996897
C8-pos_cmp.QI2141,C14:0_LPC_C8-pos,0.4699853804400007
C8-pos_cmp.QI2142,C14:0_LPC_C8-pos,0.4977853804400141
C8-pos_cmp.QI2146,C14:0_LPC_C8-pos,0.9717853804400036
C8-pos_cmp.QI2147,C14:0_LPC_C8-pos,0.9960146195600075
C8-pos_cmp.QI2149,C14:0_LPC_C8-pos,0.5223146195599995
C8-pos_cmp.QI2150,C14:0_LPC_C8-pos,0.4943146195600363
C8-pos_cmp.QI2153,C14:0_LPC_C8-pos,0.02051461955999656
C8-pos_cmp.QI2155,C14:0_LPC_C8-pos,0.040935315979975684
C8-pos_cmp.QI2156,C14:0_LPC_C8-pos,0.040935315979975684
C8-pos_cmp.QI2166,C14:0_LPC_C8-pos,0.4517646840200378
C8-pos_cmp.QI2169,C14:0_LPC_C8-pos,0.03136468402000858
C8-pos_cmp.QI2195,C14:0_LPC_C8-pos,0.4847155825299936
C8-pos_cmp.QI2198,C14:0_LPC_C8-pos,0.9351155825299955
C8-pos_cmp.QI2199,C14:0_LPC_C8-pos,0.9907155825299654
C8-pos_cmp.QI2200,C14:0_LPC_C8-pos,0.9969844174699958
C8-pos_cmp.QI2201,C14:0_LPC_C8-pos,0.9504844174700153
C8-pos_cmp.QI2203,C14:0_LPC_C8-pos,0.5074844174700317
C8-pos_cmp.QI2205,C14:0_LPC_C8-pos,0.13098441747001033
C8-pos_cmp.QI2226,C14:0_LPC_C8-pos,0.1004998710799967
C8-pos_cmp.QI2228,C14:0_LPC_C8-pos,0.4334998710799667
C8-pos_cmp.QI2231,C14:0_LPC_C8-pos,0.9351998710799947
C8-pos_cmp.QI2232,C14:0_LPC_C8-pos,0.9674998710799585
C8-pos_cmp.QI2234,C14:0_LPC_C8-pos,0.9998998710800109
C8-pos_cmp.QI2235,C14:0_LPC_C8-pos,0.9191001289200287
C8-pos_cmp.QI2236,C14:0_LPC_C8-pos,0.7086001289200041
C8-pos_cmp.QI2238,C14:0_LPC_C8-pos,0.5586001289200269
C8-pos_cmp.QI2239,C14:0_LPC_C8-pos,0.5307001289200386
C8-pos_cmp.QI2241,C14:0_LPC_C8-pos,0.05690012891999885
C8-pos_cmp.QI2242,C14:0_LPC_C8-pos,0.024600128920035047
C8-pos_cmp.QI2305,C14:0_LPC_C8-pos,0.040400962969968646
C8-pos_cmp.QI2306,C14:0_LPC_C8-pos,0.0412009629699952
C8-pos_cmp.QI2308,C14:0_LPC_C8-pos,0.9199009629699759
C8-pos_cmp.QI2311,C14:0_LPC_C8-pos,0.9173990370299947
C8-pos_cmp.QI2314,C14:0_LPC_C8-pos,0.5459990370300005
C8-pos_cmp.QI2318,C14:0_LPC_C8-pos,0.04429903703002935
C8-pos_cmp.QI2328,C14:0_LPC_C8-pos,0.07353531597998142
C8-pos_cmp.QI2334,C14:0_LPC_C8-pos,0.9271646840200134
C8-pos_cmp.QI2335,C14:0_LPC_C8-pos,0.8825646840200108
C8-pos_cmp.QI2344,C14:0_LPC_C8-pos,0.9635292391200636
C8-pos_cmp.QI2345,C14:0_LPC_C8-pos,0.9635292391200636
C8-pos_cmp.QI2346,C14:0_LPC_C8-pos,0.9633292391200001
C8-pos_cmp.QI2348,C14:0_LPC_C8-pos,0.8827292391199961
C8-pos_cmp.QI2350,C14:0_LPC_C8-pos,0.8309292391200387
C8-pos_cmp.QI2351,C14:0_LPC_C8-pos,0.12592923911999776
C8-pos_cmp.QI2387,C14:0_LPC_C8-pos,0.025864315979973185
C8-pos_cmp.QI2388,C14:0_LPC_C8-pos,0.052364315980028664
C8-pos_cmp.QI2394,C14:0_LPC_C8-pos,0.9984643159800299
C8-pos_cmp.QI2395,C14:0_LPC_C8-pos,0.9694356840199561
C8-pos_cmp.QI2396,C14:0_LPC_C8-pos,0.9668356840200403
C8-pos_cmp.QI2399,C14:0_LPC_C8-pos,0.4682356840200299
C8-pos_cmp.QI2445,C14:0_LPC_C8-pos,0.008636278950007181
C8-pos_cmp.QI2446,C14:0_LPC_C8-pos,0.041236278950009364
