Metabolite_from,Metabolite_to,Weight
2-aminoadipate,2-aminoadipate,0.0
alpha-glycerophosphate,2-aminoadipate,0.0
4-pyridoxate,2-aminoadipate,0.0
aconitate,2-aminoadipate,0.0
adenine,2-aminoadipate,0.0
adipate,2-aminoadipate,0.0
citrate,2-aminoadipate,0.0
isocitrate,2-aminoadipate,0.0
cystathionine,2-aminoadipate,0.0
cytidine,2-aminoadipate,0.0
dCMP,2-aminoadipate,0.0
fumarate/maleate/alpha-ketoisovalerate,2-aminoadipate,0.0
glucuronate,2-aminoadipate,0.0
guanine,2-aminoadipate,0.0
guanosine,2-aminoadipate,0.0
hippurate,2-aminoadipate,0.0
hypoxanthine,2-aminoadipate,0.0
inosine,2-aminoadipate,0.0
kynurenine,2-aminoadipate,0.0
lactate,2-aminoadipate,0.0
lactose,2-aminoadipate,0.0
malate,2-aminoadipate,0.0
orotate,2-aminoadipate,0.0
oxalate,2-aminoadipate,0.0
pantothenate,2-aminoadipate,0.0
propionate,2-aminoadipate,0.0
pyruvate,2-aminoadipate,0.0
quinolinate,2-aminoadipate,0.0
salicylurate,2-aminoadipate,0.0
sorbitol,2-aminoadipate,0.0
succinate,2-aminoadipate,0.0
sucrose,2-aminoadipate,0.0
thymine,2-aminoadipate,0.0
uracil,2-aminoadipate,0.0
uridine,2-aminoadipate,0.0
xanthine,2-aminoadipate,0.0
glycocholate,2-aminoadipate,0.0
glycodeoxycholate/glycochenodeoxycholate,2-aminoadipate,0.0
taurodeoxycholate/taurochenodeoxycholate,2-aminoadipate,0.0
chenodeoxycholate/deoxycholate,2-aminoadipate,0.0
suberate,2-aminoadipate,0.0
hydroxyphenylacetate,2-aminoadipate,0.0
indolelactate,2-aminoadipate,0.0
indoxylsulfate,2-aminoadipate,0.0
indole-3-propionate,2-aminoadipate,0.0
gentisate,2-aminoadipate,0.0
phosphocreatine,2-aminoadipate,0.0
3-methyladipate/pimelate,2-aminoadipate,0.0
alpha-hydroxybutyrate,2-aminoadipate,0.0
beta-hydroxybutyrate,2-aminoadipate,0.0
2-hydroxyglutarate,2-aminoadipate,0.0
inositol,2-aminoadipate,0.0
butyrate,2-aminoadipate,0.0
1-methylnicotinamide,2-aminoadipate,0.0
5-hydroxytryptophan,2-aminoadipate,0.0
adenosine,2-aminoadipate,0.0
ADMA/SDMA,2-aminoadipate,0.0
alanine,2-aminoadipate,0.0
alpha-glycerophosphocholine,2-aminoadipate,0.0
arginine,2-aminoadipate,0.0
asparagine,2-aminoadipate,0.0
betaine,2-aminoadipate,0.0
choline,2-aminoadipate,0.0
citrulline,2-aminoadipate,0.0
cotinine,2-aminoadipate,0.0
creatine,2-aminoadipate,0.0
creatinine,2-aminoadipate,0.0
cytosine,2-aminoadipate,0.0
dimethylglycine,2-aminoadipate,0.0
glucose,2-aminoadipate,0.0
glutamate,2-aminoadipate,0.0
glutamine,2-aminoadipate,0.0
glycine,2-aminoadipate,0.0
isoleucine,2-aminoadipate,0.0
leucine,2-aminoadipate,0.0
lysine,2-aminoadipate,0.0
methionine,2-aminoadipate,0.0
niacinamide,2-aminoadipate,0.0
NMMA,2-aminoadipate,0.0
ornithine,2-aminoadipate,0.0
phenylalanine,2-aminoadipate,0.0
pipecolic_acid,2-aminoadipate,0.0
proline,2-aminoadipate,0.0
pyroglutamic_acid,2-aminoadipate,0.0
serine,2-aminoadipate,0.0
serotonin,2-aminoadipate,0.0
taurine,2-aminoadipate,0.0
threonine,2-aminoadipate,0.0
thyroxine,2-aminoadipate,0.0
trans-hydroxyproline,2-aminoadipate,0.0
trimethylamine-N-oxide,2-aminoadipate,0.0
tryptophan,2-aminoadipate,0.0
tyrosine,2-aminoadipate,0.0
valine,2-aminoadipate,0.0
acetylcarnitine,2-aminoadipate,0.0
propionylcarnitine,2-aminoadipate,0.0
2-methylbutyroylcarnitine,2-aminoadipate,0.0
hexanoylcarnitine,2-aminoadipate,0.0
octanoylcarnitine,2-aminoadipate,0.0
nonanoylcarnitine,2-aminoadipate,0.0
decanoylcarnitine,2-aminoadipate,0.0
lauroylcarnitine,2-aminoadipate,0.0
14:1-carnitine,2-aminoadipate,0.0
myristoylcarnitine,2-aminoadipate,0.0
16:1-carnitine,2-aminoadipate,0.0
palmitoylcarnitine,2-aminoadipate,0.0
linoleylcarnitine,2-aminoadipate,0.0
oleoylcarnitine,2-aminoadipate,0.0
stearoylcarnitine,2-aminoadipate,0.0
poor_sig_histidine,2-aminoadipate,0.0
HILIC-pos_5148,2-aminoadipate,0.0
HILIC-pos_4814,2-aminoadipate,0.0
HILIC-pos_2074,2-aminoadipate,0.0
HILIC-pos_4817,2-aminoadipate,0.0
HILIC-pos_5388,2-aminoadipate,0.0
HILIC-pos_5157,2-aminoadipate,0.0
HILIC-pos_1525,2-aminoadipate,0.0
HILIC-pos_1283,2-aminoadipate,0.0
HILIC-pos_4479,2-aminoadipate,0.0
HILIC-pos_5426,2-aminoadipate,0.0
HILIC-pos_1122,2-aminoadipate,0.0
HILIC-pos_5615,2-aminoadipate,0.0
HILIC-pos_5167,2-aminoadipate,0.0
HILIC-pos_5104,2-aminoadipate,0.0
HILIC-pos_5361,2-aminoadipate,0.0
HILIC-pos_5040,2-aminoadipate,0.0
HILIC-pos_5481,2-aminoadipate,0.0
HILIC-pos_2941,2-aminoadipate,0.0
HILIC-pos_3904,2-aminoadipate,0.0
HILIC-pos_2453,2-aminoadipate,0.0
HILIC-pos_4311,2-aminoadipate,0.0
HILIC-pos_4986,2-aminoadipate,0.0
HILIC-pos_4585,2-aminoadipate,0.0
HILIC-pos_4654,2-aminoadipate,0.0
HILIC-pos_5041,2-aminoadipate,0.0
HILIC-pos_2034,2-aminoadipate,0.0
HILIC-pos_5007,2-aminoadipate,0.0
HILIC-pos_2563,2-aminoadipate,0.0
HILIC-pos_4571,2-aminoadipate,0.0
HILIC-pos_5677,2-aminoadipate,0.0
HILIC-pos_5242,2-aminoadipate,0.0
HILIC-pos_5069,2-aminoadipate,0.0
HILIC-pos_4540,2-aminoadipate,0.0
HILIC-pos_4714,2-aminoadipate,0.0
HILIC-pos_2920,2-aminoadipate,0.0
HILIC-pos_760,2-aminoadipate,0.0
HILIC-pos_5422,2-aminoadipate,0.0
HILIC-pos_3122,2-aminoadipate,0.0
HILIC-pos_103,2-aminoadipate,0.0
HILIC-pos_1651,2-aminoadipate,0.0
HILIC-pos_2553,2-aminoadipate,0.0
HILIC-pos_2402,2-aminoadipate,0.0
HILIC-pos_3570,2-aminoadipate,0.0
HILIC-pos_4145,2-aminoadipate,0.0
HILIC-pos_445,2-aminoadipate,0.0
HILIC-pos_1441,2-aminoadipate,0.0
HILIC-pos_4833,2-aminoadipate,0.0
HILIC-pos_2933,2-aminoadipate,0.0
HILIC-pos_1103,2-aminoadipate,0.0
HILIC-pos_4622,2-aminoadipate,0.0
HILIC-pos_924,2-aminoadipate,0.0
HILIC-pos_5417,2-aminoadipate,0.0
HILIC-pos_4219,2-aminoadipate,0.0
HILIC-pos_2689,2-aminoadipate,0.0
HILIC-pos_1274,2-aminoadipate,0.0
HILIC-pos_4641,2-aminoadipate,0.0
HILIC-pos_5175,2-aminoadipate,0.0
HILIC-pos_5166,2-aminoadipate,0.0
HILIC-pos_2764,2-aminoadipate,0.0
HILIC-pos_4483,2-aminoadipate,0.0
HILIC-pos_4656,2-aminoadipate,0.0
HILIC-pos_5653,2-aminoadipate,0.0
HILIC-pos_2264,2-aminoadipate,0.0
HILIC-pos_1967,2-aminoadipate,0.0
HILIC-pos_649,2-aminoadipate,0.0
HILIC-pos_1439,2-aminoadipate,0.0
HILIC-pos_1327,2-aminoadipate,0.0
HILIC-pos_5119,2-aminoadipate,0.0
HILIC-pos_1946,2-aminoadipate,0.0
HILIC-pos_1782,2-aminoadipate,0.0
HILIC-pos_1112,2-aminoadipate,0.0
