Metabolite_from,Metabolite_to,Weight
C16:1_LPC,C16:1_LPC,0.0
C16:0_LPC,C16:1_LPC,0.9999499355400063
C18:2_LPC,C16:1_LPC,0.0
C18:1_LPC,C16:1_LPC,0.9998998710800677
C18:0_LPC,C16:1_LPC,0.0
C20:5_LPC,C16:1_LPC,0.0
C20:4_LPC,C16:1_LPC,0.9668356840200403
C20:3_LPC,C16:1_LPC,0.018584417469973857
C22:6_LPC,C16:1_LPC,0.0
C16:0_LPE,C16:1_LPC,0.0
C18:2_LPE,C16:1_LPC,0.0
C20:4_LPE,C16:1_LPC,0.0
C22:6_LPE,C16:1_LPC,0.0
C30:0_PC,C16:1_LPC,0.0
C32:2_PC,C16:1_LPC,0.0
C32:1_PC,C16:1_LPC,0.0
C32:0_PC,C16:1_LPC,0.0
C34:4_PC,C16:1_LPC,0.0
C34:3_PC,C16:1_LPC,0.0
C34:2_PC,C16:1_LPC,0.0
C34:1_PC,C16:1_LPC,0.0
C34:0_PC,C16:1_LPC,0.0
C36:4_PC-A,C16:1_LPC,0.0
C36:4_PC-B,C16:1_LPC,0.0
C36:3_PC,C16:1_LPC,0.0
C36:2_PC,C16:1_LPC,0.0
C36:1_PC,C16:1_LPC,0.0
C36:0_PC,C16:1_LPC,0.0
C38:6_PC,C16:1_LPC,0.0
C38:4_PC,C16:1_LPC,0.0
C38:3_PC,C16:1_LPC,0.0
C38:2_PC,C16:1_LPC,0.0
C40:10_PC,C16:1_LPC,0.0
C40:9_PC,C16:1_LPC,0.0
C40:6_PC,C16:1_LPC,0.0
C34:1_PC_plasmalogen-A,C16:1_LPC,0.0
C36:5_PC_plasmalogen-A,C16:1_LPC,0.0
C36:5_PC_plasmalogen-B,C16:1_LPC,0.0
C36:4_PC_plasmalogen,C16:1_LPC,0.0
C36:3_PC_plasmalogen,C16:1_LPC,0.0
C36:2_PC_plasmalogen,C16:1_LPC,0.0
C36:1_PC_plasmalogen,C16:1_LPC,0.0
C38:7_PC_plasmalogen,C16:1_LPC,0.0
C38:6_PC_plasmalogen,C16:1_LPC,0.0
C38:4_PC_plasmalogen,C16:1_LPC,0.0
C40:7_PC_plasmalogen,C16:1_LPC,0.0
C34:0_PE,C16:1_LPC,0.0
C36:3_PE,C16:1_LPC,0.0
C36:2_PE,C16:1_LPC,0.0
C36:1_PE,C16:1_LPC,0.0
C38:6_PE,C16:1_LPC,0.0
C38:5_PE,C16:1_LPC,0.0
C38:4_PE,C16:1_LPC,0.0
C40:6_PE,C16:1_LPC,0.0
C36:5_PE_plasmalogen,C16:1_LPC,0.0
C36:4_PE_plasmalogen,C16:1_LPC,0.0
C36:3_PE_plasmalogen,C16:1_LPC,0.0
C38:7_PE_plasmalogen,C16:1_LPC,0.0
C38:5_PE_plasmalogen,C16:1_LPC,0.0
C40:7_PE_plasmalogen,C16:1_LPC,0.0
C22:0_Ceramide_(d18:1),C16:1_LPC,0.0
C24:0_Ceramide_(d18:1),C16:1_LPC,0.0
C24:1_Ceramide_(d18:1),C16:1_LPC,0.0
C14:0_SM,C16:1_LPC,0.0
C16:1_SM,C16:1_LPC,0.0
C16:0_SM,C16:1_LPC,0.0
C18:2_SM,C16:1_LPC,0.0
C18:1_SM,C16:1_LPC,0.0
C18:0_SM,C16:1_LPC,0.0
C20:0_SM,C16:1_LPC,0.0
C22:1_SM,C16:1_LPC,0.0
C22:0_SM,C16:1_LPC,0.0
C24:1_SM,C16:1_LPC,0.0
C24:0_SM,C16:1_LPC,0.0
C14:0_CE,C16:1_LPC,0.0
C16:1_CE,C16:1_LPC,0.0
C16:0_CE,C16:1_LPC,0.0
C18:3_CE,C16:1_LPC,0.0
C18:2_CE,C16:1_LPC,0.0
C18:1_CE,C16:1_LPC,0.0
C18:0_CE,C16:1_LPC,0.7071879752000996
C20:5_CE,C16:1_LPC,0.0
C20:4_CE,C16:1_LPC,0.0
C20:3_CE,C16:1_LPC,0.0
C22:6_CE,C16:1_LPC,0.0
C22:5_CE,C16:1_LPC,0.0
C16:1_MAG,C16:1_LPC,0.0
C18:0_MAG,C16:1_LPC,0.0
C32:0_DAG,C16:1_LPC,0.0
C34:2_DAG,C16:1_LPC,0.0
C34:1_DAG,C16:1_LPC,0.0
C34:0_DAG,C16:1_LPC,0.0
C36:3_DAG,C16:1_LPC,0.0
C36:2_DAG,C16:1_LPC,0.0
C36:1_DAG,C16:1_LPC,0.0
C36:0_DAG,C16:1_LPC,0.0
C36:4_DAG,C16:1_LPC,0.0
C42:0_TAG,C16:1_LPC,0.0
C44:2_TAG,C16:1_LPC,0.0
C44:1_TAG,C16:1_LPC,0.0
C44:0_TAG,C16:1_LPC,0.0
C46:3_TAG,C16:1_LPC,0.0
C46:2_TAG,C16:1_LPC,0.0
C46:1_TAG,C16:1_LPC,0.0
C46:0_TAG,C16:1_LPC,0.0
C48:5_TAG,C16:1_LPC,0.0
C48:4_TAG,C16:1_LPC,0.0
C48:3_TAG,C16:1_LPC,0.0
C48:2_TAG,C16:1_LPC,0.0
C48:1_TAG,C16:1_LPC,0.0
C48:0_TAG,C16:1_LPC,0.0
C50:6_TAG,C16:1_LPC,0.0
C50:5_TAG,C16:1_LPC,0.0
C50:4_TAG,C16:1_LPC,0.0
C50:3_TAG,C16:1_LPC,0.0
C50:2_TAG,C16:1_LPC,0.0
C50:1_TAG,C16:1_LPC,0.0
C50:0_TAG,C16:1_LPC,0.0
C52:7_TAG,C16:1_LPC,0.0
C52:6_TAG,C16:1_LPC,0.0
C52:5_TAG,C16:1_LPC,0.0
C52:4_TAG,C16:1_LPC,0.0
C52:3_TAG,C16:1_LPC,0.0
C52:2_TAG,C16:1_LPC,0.0
C52:1_TAG,C16:1_LPC,0.0
C52:0_TAG,C16:1_LPC,0.0
C54:8_TAG,C16:1_LPC,0.0
C54:7_TAG,C16:1_LPC,0.0
C54:6_TAG,C16:1_LPC,0.0
C54:5_TAG,C16:1_LPC,0.0
C54:4_TAG,C16:1_LPC,0.0
C54:3_TAG,C16:1_LPC,0.0
C54:2_TAG,C16:1_LPC,0.0
C54:1_TAG,C16:1_LPC,0.0
C56:9_TAG,C16:1_LPC,0.0
C56:8_TAG,C16:1_LPC,0.0
C56:7_TAG,C16:1_LPC,0.0
C56:6_TAG,C16:1_LPC,0.0
C56:5_TAG,C16:1_LPC,0.0
C56:4_TAG,C16:1_LPC,0.0
C56:3_TAG,C16:1_LPC,0.0
C56:2_TAG,C16:1_LPC,0.0
C56:1_TAG,C16:1_LPC,0.0
C58:11_TAG,C16:1_LPC,0.0
C58:10_TAG,C16:1_LPC,0.0
C58:9_TAG,C16:1_LPC,0.0
C58:8_TAG,C16:1_LPC,0.0
C58:7_TAG,C16:1_LPC,0.0
C58:6_TAG,C16:1_LPC,0.0
C60:12_TAG,C16:1_LPC,0.0
C34:1_PI,C16:1_LPC,0.0
C34:0_PI,C16:1_LPC,0.0
C38:4_PI,C16:1_LPC,0.0
C34:0_PS,C16:1_LPC,0.0
C8-pos_185,C16:1_LPC,0.0
C8-pos_155,C16:1_LPC,0.0
C8-pos_113,C16:1_LPC,0.0
C8-pos_150,C16:1_LPC,0.0
C8-pos_84,C16:1_LPC,0.0
C8-pos_56,C16:1_LPC,0.0
C8-pos_33,C16:1_LPC,0.0
C8-pos_102,C16:1_LPC,0.0
C8-pos_1859,C16:1_LPC,0.0
C8-pos_1931,C16:1_LPC,0.0
C8-pos_1930,C16:1_LPC,0.0
C8-pos_1779,C16:1_LPC,0.0
C8-pos_1212,C16:1_LPC,0.0
C8-pos_1782,C16:1_LPC,0.0
C8-pos_1828,C16:1_LPC,0.0
C8-pos_1269,C16:1_LPC,0.0
C8-pos_1791,C16:1_LPC,0.0
C8-pos_1702,C16:1_LPC,0.0
C8-pos_1910,C16:1_LPC,0.0
C8-pos_1735,C16:1_LPC,0.0
C8-pos_1841,C16:1_LPC,0.0
C8-pos_1834,C16:1_LPC,0.0
C8-pos_1856,C16:1_LPC,0.0
C8-pos_1801,C16:1_LPC,0.0
C8-pos_1817,C16:1_LPC,0.0
C8-pos_1915,C16:1_LPC,0.0
C8-pos_1905,C16:1_LPC,0.0
C8-pos_1919,C16:1_LPC,0.0
C8-pos_1912,C16:1_LPC,0.0
C8-pos_1821,C16:1_LPC,0.0
C8-pos_39,C16:1_LPC,0.0
C8-pos_68,C16:1_LPC,0.0
C8-pos_158,C16:1_LPC,0.0
