Metabolite_from,Metabolite_to,Weight
C16:0_LPC,C16:1_LPC,0.9999499355400063
C18:1_LPC,C16:1_LPC,0.9998998710800677
C20:4_LPC,C16:1_LPC,0.9668356840200403
C20:3_LPC,C16:1_LPC,0.018584417469973857
C18:0_CE,C16:1_LPC,0.7071879752000996
C8-pos_225,C16:1_LPC,0.9998499355400314
C8-pos_57,C16:1_LPC,0.07348538043999753
C8-pos_256,C16:1_LPC,0.9635146195599802
C8-pos_41,C16:1_LPC,0.03421558252995993
C8-pos_255,C16:1_LPC,0.0021009629699761945
C8-pos_696,C16:1_LPC,0.880499037029935
C8-pos_238,C16:1_LPC,0.03949903703004054
C8-pos_403,C16:1_LPC,0.8305353159800433
C8-pos_247,C16:1_LPC,0.969535684019931
C8-pos_241,C16:1_LPC,0.969535684019931
C8-pos_212,C16:1_LPC,0.9670356840199901
C8-pos_1578,C16:1_LPC,0.8426637210500303
C8-pos_63,C16:1_LPC,0.8650148586800128
C8-pos_1625,C16:1_LPC,0.20975614132001397
C8-pos_1510,C16:1_LPC,0.20995614132007745
C8-pos_144,C16:1_LPC,0.016243858679985124
C8-pos_841,C16:1_LPC,0.8106994050699541
C8-pos_1518,C16:1_LPC,0.2791359109099858
C8-pos_1006,C16:1_LPC,0.7830234201000223
C8-pos_1664,C16:1_LPC,0.7435234200999332
C8-pos_1868,C16:1_LPC,0.541523420099935
C8-pos_1771,C16:1_LPC,0.5412234201000103
C8-pos_1746,C16:1_LPC,0.5406234200999336
C8-pos_1342,C16:1_LPC,0.20111202480006796
C8-pos_1026,C16:1_LPC,0.7459879752000234
C8-pos_1476,C16:1_LPC,0.7253879751999648
C18-neg_13083,C16:1_LPC,0.0056155825300336915
C18-neg_15293,C16:1_LPC,0.006215582529996766
C18-neg_14206,C16:1_LPC,0.006215582529996766
C18-neg_15385,C16:1_LPC,0.011615582530005497
C18-neg_13636,C16:1_LPC,0.014215582530034965
C18-neg_1964,C16:1_LPC,0.2560155825299901
C18-neg_1894,C16:1_LPC,0.34531558253002714
C18-neg_1749,C16:1_LPC,0.4812155825300195
C18-neg_1175,C16:1_LPC,0.48811558252999276
C18-neg_1006,C16:1_LPC,0.4945155825300347
C18-neg_17580,C16:1_LPC,0.5222155825300163
C18-neg_17506,C16:1_LPC,0.5223155825299912
C18-neg_17551,C16:1_LPC,0.5225155825299979
C18-neg_17472,C16:1_LPC,0.5226155825300296
C18-neg_16879,C16:1_LPC,0.5227155825300045
C18-neg_16964,C16:1_LPC,0.5228155825300362
C18-neg_16787,C16:1_LPC,0.5228155825300362
C18-neg_16996,C16:1_LPC,0.522915582530068
C18-neg_16893,C16:1_LPC,0.522915582530068
C18-neg_16768,C16:1_LPC,0.523015582529986
C18-neg_999,C16:1_LPC,0.5587155825300059
C18-neg_1539,C16:1_LPC,0.5912155825300331
C18-neg_2370,C16:1_LPC,0.6401155825300364
C18-neg_1661,C16:1_LPC,0.6642155825300122
C18-neg_8643,C16:1_LPC,0.728015582530027
C18-neg_4080,C16:1_LPC,0.7646155825299914
C18-neg_2958,C16:1_LPC,0.7733155825300244
C18-neg_2407,C16:1_LPC,0.788715582530024
C18-neg_14266,C16:1_LPC,0.7954155825299907
C18-neg_5158,C16:1_LPC,0.8407155825299881
C18-neg_7087,C16:1_LPC,0.8840155825300329
C18-neg_8884,C16:1_LPC,0.8844155825299893
C18-neg_8739,C16:1_LPC,0.8849155825300343
C18-neg_8598,C16:1_LPC,0.9041155825299896
C18-neg_8033,C16:1_LPC,0.9042155825300213
C18-neg_4851,C16:1_LPC,0.904415582530028
C18-neg_5774,C16:1_LPC,0.9045155825300029
C18-neg_8151,C16:1_LPC,0.9045155825300029
C18-neg_7415,C16:1_LPC,0.9046155825300346
C18-neg_8300,C16:1_LPC,0.9049155825300161
C18-neg_10236,C16:1_LPC,0.9234155825300334
C18-neg_8244,C16:1_LPC,0.9402155825300227
C18-neg_7970,C16:1_LPC,0.940615582530036
C18-neg_9661,C16:1_LPC,0.940615582530036
C18-neg_10071,C16:1_LPC,0.9407155825300109
C18-neg_11542,C16:1_LPC,0.9407155825300109
C18-neg_13028,C16:1_LPC,0.9596155825299846
C18-neg_13201,C16:1_LPC,0.9601155825300296
C18-neg_13272,C16:1_LPC,0.9602155825300045
C18-neg_13210,C16:1_LPC,0.9764155825300307
C18-neg_12044,C16:1_LPC,0.9767155825300122
C18-neg_10064,C16:1_LPC,0.976915582529962
C18-neg_12473,C16:1_LPC,0.9770155825299938
C18-neg_10617,C16:1_LPC,0.9772155825300004
C18-neg_10190,C16:1_LPC,0.9773155825300321
C18-neg_11223,C16:1_LPC,0.9773155825300321
C18-neg_11638,C16:1_LPC,0.9773155825300321
C18-neg_14042,C16:1_LPC,0.9857155825300268
C18-neg_14904,C16:1_LPC,0.9953155825300044
C18-neg_14318,C16:1_LPC,0.9987155825300036
C18-neg_13431,C16:1_LPC,0.9883844174699945
C18-neg_13746,C16:1_LPC,0.9871844174700115
C18-neg_13451,C16:1_LPC,0.9868844174699731
C18-neg_13818,C16:1_LPC,0.9866844174699665
C18-neg_17417,C16:1_LPC,0.982284417469991
C18-neg_17470,C16:1_LPC,0.9819844174700094
C18-neg_17446,C16:1_LPC,0.9803844174700131
C18-neg_17421,C16:1_LPC,0.9767844174700073
C18-neg_17455,C16:1_LPC,0.9758844174700059
C18-neg_17428,C16:1_LPC,0.9756844174699992
C18-neg_15701,C16:1_LPC,0.9499844174699703
C18-neg_15791,C16:1_LPC,0.9498844174699954
C18-neg_16546,C16:1_LPC,0.9498844174699954
C18-neg_15868,C16:1_LPC,0.9498844174699954
C18-neg_16277,C16:1_LPC,0.9498844174699954
C18-neg_14864,C16:1_LPC,0.9495844174700139
C18-neg_14492,C16:1_LPC,0.9494844174699821
C18-neg_15214,C16:1_LPC,0.9494844174699821
C18-neg_14584,C16:1_LPC,0.9494844174699821
C18-neg_14746,C16:1_LPC,0.9494844174699821
C18-neg_15108,C16:1_LPC,0.9493844174700072
C18-neg_11558,C16:1_LPC,0.4732844174699764
C18-neg_1279,C16:1_LPC,0.4048844174699795
C18-neg_5091,C16:1_LPC,0.3307844174699923
C18-neg_4648,C16:1_LPC,0.14628441746997822
C18-neg_5223,C16:1_LPC,0.14168441746999605
C18-neg_5695,C16:1_LPC,0.1414844174699894
C18-neg_5151,C16:1_LPC,0.10008441746997931
C18-neg_12631,C16:1_LPC,0.09788441746996313
C18-neg_10270,C16:1_LPC,0.08758441746999068
C18-neg_9437,C16:1_LPC,0.08748441747001579
C18-neg_9449,C16:1_LPC,0.0509844174699694
C18-neg_10255,C16:1_LPC,0.0508844174699945
C18-neg_12995,C16:1_LPC,0.015084417469999778
C18-neg_13773,C16:1_LPC,0.015084417469999778
C18-neg_13918,C16:1_LPC,0.014984417469968037
C18-neg_14180,C16:1_LPC,0.014884417469993139
C18-neg_14089,C16:1_LPC,0.005165518070025854
C18-neg_1876,C16:1_LPC,0.3267655180700153
C18-neg_2230,C16:1_LPC,0.45556551807002776
C18-neg_1351,C16:1_LPC,0.47896551807000876
C18-neg_1672,C16:1_LPC,0.5737655180700294
C18-neg_11088,C16:1_LPC,0.5776655180700168
C18-neg_10890,C16:1_LPC,0.57806551807003
C18-neg_2500,C16:1_LPC,0.7366655180700086
C18-neg_4997,C16:1_LPC,0.8481655180699867
C18-neg_5023,C16:1_LPC,0.8677655180700121
C18-neg_4803,C16:1_LPC,0.8679655180700188
C18-neg_9336,C16:1_LPC,0.9032655180700253
C18-neg_9709,C16:1_LPC,0.9033655180700002
C18-neg_5778,C16:1_LPC,0.9038655180699884
C18-neg_7825,C16:1_LPC,0.9043655180700334
C18-neg_8330,C16:1_LPC,0.9044655180700083
C18-neg_5535,C16:1_LPC,0.9044655180700083
C18-neg_5205,C16:1_LPC,0.9045655180699832
C18-neg_11470,C16:1_LPC,0.9045655180699832
